"Date","covid19_cases_unvac","covid19_cases_partial_vac","covid19_cases_notfull_vac","covid19_cases_full_vac","covid19_cases_boost_vac","covid19_cases_vac_unknown","cases_unvac_rate_per100K","cases_partial_vac_rate_per100K","cases_notfull_vac_rate_per100K","cases_full_vac_rate_per100K","cases_boost_vac_rate_per100K","cases_unvac_rate_7ma","cases_partial_vac_rate_7ma","cases_notfull_vac_rate_7ma","cases_full_vac_rate_7ma","cases_boost_vac_rate_7ma"
2022-06-08,,,115,172,598,128,,,4.33,3.64,8.14,,,3.39,2.80,6.56
2022-06-09,,,87,141,541,138,,,3.27,2.98,7.36,,,3.26,2.72,6.30
2022-06-10,,,80,144,503,108,,,3.01,3.05,6.84,,,3.14,2.70,6.17
2022-06-11,,,90,135,511,89,,,3.39,2.86,6.95,,,3.11,2.62,6.18
2022-06-12,,,64,106,435,54,,,2.41,2.24,5.92,,,3.13,2.56,6.17
2022-06-13,,,46,68,231,12,,,1.73,1.44,3.14,,,3.01,2.56,6.04
2022-06-14,,,62,68,269,61,,,2.33,1.44,3.66,,,2.92,2.52,6.00
2022-06-15,,,81,104,532,69,,,3.05,2.20,7.23,,,2.74,2.32,5.87
2022-06-16,,,69,134,506,68,,,2.60,2.84,6.88,,,2.65,2.30,5.80
2022-06-17,,,80,128,559,89,,,3.01,2.71,7.60,,,2.65,2.25,5.91
2022-06-18,,,81,96,445,65,,,3.05,2.03,6.05,,,2.60,2.13,5.78
2022-06-19,,,67,115,382,49,,,2.53,2.44,5.19,,,2.61,2.16,5.68
2022-06-20,,,46,63,246,12,,,1.73,1.33,3.34,,,2.61,2.14,5.71
2022-06-21,,,85,67,333,78,,,3.21,1.42,4.52,,,2.74,2.14,5.83
2022-06-22,,,71,104,555,49,,,2.68,2.20,7.54,,,2.69,2.14,5.87
2022-06-23,,,82,125,628,53,,,3.09,2.65,8.53,,,2.76,2.11,6.11
2022-06-24,,,96,155,651,73,,,3.62,3.29,8.84,,,2.84,2.19,6.29
2022-06-25,,,96,113,583,83,,,3.62,2.40,7.91,,,2.93,2.25,6.55
2022-06-26,,,77,118,620,68,,,2.91,2.50,8.41,,,2.98,2.26,7.01
2022-06-27,,,58,65,361,37,,,2.19,1.38,4.90,,,3.05,2.26,7.24
2022-06-28,,,67,119,409,122,,,2.53,2.52,5.55,,,2.95,2.42,7.38
2022-06-29,,,113,196,839,89,,,4.27,4.16,11.38,,,3.18,2.70,7.93
2022-06-30,,,146,177,785,102,,,5.52,3.76,10.64,,,3.52,2.86,8.23
