,retail,grocery,park,trainsit,workplace,residential,date
477,-27,8,131,-55,-32,11,2021-06-06
478,-26,8,128,-55,-33,11,2021-06-07
479,-25,8,126,-55,-33,11,2021-06-08
480,-24,9,125,-55,-33,11,2021-06-09
481,-22,9,126,-54,-33,10,2021-06-10
482,-20,9,127,-53,-32,10,2021-06-11
483,-18,9,128,-53,-31,9,2021-06-12
484,-17,9,126,-53,-31,9,2021-06-13
485,-16,9,123,-53,-32,9,2021-06-14
486,-15,9,121,-53,-33,9,2021-06-15
487,-15,10,120,-53,-33,9,2021-06-16
488,-15,10,121,-53,-33,9,2021-06-17
489,-15,10,124,-52,-32,9,2021-06-18
490,-15,9,126,-52,-31,8,2021-06-19
491,-15,9,125,-52,-32,9,2021-06-20
492,-16,8,123,-52,-32,9,2021-06-21
493,-16,8,119,-53,-33,9,2021-06-22
494,-16,8,115,-53,-34,9,2021-06-23
495,-16,7,114,-53,-33,9,2021-06-24
496,-16,7,114,-52,-33,9,2021-06-25
497,-15,7,117,-52,-33,9,2021-06-26
498,-15,7,122,-52,-34,9,2021-06-27
499,-15,7,129,-52,-36,9,2021-06-28
500,-14,8,138,-52,-39,9,2021-06-29
501,-14,8,149,-52,-41,9,2021-06-30
502,-14,7,158,-51,-42,9,2021-07-01
503,-14,7,163,-50,-41,9,2021-07-02
504,-13,7,164,-50,-39,8,2021-07-03
505,-13,8,157,-49,-37,8,2021-07-04
506,-13,8,146,-49,-37,8,2021-07-05
507,-13,8,135,-49,-36,8,2021-07-06
508,-13,8,126,-49,-35,9,2021-07-07
509,-13,8,122,-49,-34,9,2021-07-08
510,-13,8,122,-48,-33,8,2021-07-09
511,-13,8,125,-48,-31,8,2021-07-10
512,-12,7,127,-48,-31,8,2021-07-11
513,-12,8,128,-48,-32,8,2021-07-12
514,-11,8,128,-48,-33,8,2021-07-13
515,-11,8,129,-48,-33,8,2021-07-14
516,-10,8,132,-47,-32,8,2021-07-15
517,-10,9,137,-47,-31,7,2021-07-16
518,-9,9,141,-46,-30,7,2021-07-17
519,-8,9,145,-46,-30,7,2021-07-18
520,-8,9,147,-46,-31,7,2021-07-19
521,-7,9,149,-46,-32,7,2021-07-20
522,-7,9,150,-46,-33,7,2021-07-21
523,-7,9,152,-46,-32,7,2021-07-22
524,-7,9,153,-45,-31,6,2021-07-23
525,-7,9,154,-45,-30,6,2021-07-24
526,-7,9,153,-45,-30,6,2021-07-25
527,-7,9,151,-45,-31,6,2021-07-26
528,-7,9,150,-45,-33,7,2021-07-27
529,-7,9,150,-46,-34,7,2021-07-28
530,-7,9,153,-45,-34,7,2021-07-29
531,-6,9,158,-45,-35,6,2021-07-30
532,-6,8,165,-44,-35,6,2021-07-31
533,-6,8,171,-44,-36,6,2021-08-01
534,-7,8,173,-45,-37,6,2021-08-02
535,-7,8,173,-45,-38,7,2021-08-03
536,-7,8,170,-45,-37,7,2021-08-04
537,-7,8,165,-44,-35,6,2021-08-05
538,-7,8,159,-43,-32,6,2021-08-06
539,-8,8,153,-43,-30,6,2021-08-07
540,-7,8,147,-43,-30,6,2021-08-08
541,-7,8,142,-43,-30,6,2021-08-09
542,-7,8,139,-44,-31,7,2021-08-10
543,-7,8,140,-44,-31,7,2021-08-11
544,-7,8,145,-43,-31,6,2021-08-12
545,-6,8,150,-42,-30,6,2021-08-13
546,-6,8,155,-42,-29,6,2021-08-14
547,-6,8,157,-42,-29,5,2021-08-15
548,-6,8,155,-42,-30,6,2021-08-16
549,-6,9,152,-42,-31,6,2021-08-17
550,-6,9,150,-43,-31,6,2021-08-18
551,-6,9,149,-42,-31,6,2021-08-19
552,-6,8,149,-42,-30,5,2021-08-20
553,-6,8,149,-41,-29,5,2021-08-21
554,-5,8,147,-41,-29,5,2021-08-22
555,-5,8,143,-42,-30,6,2021-08-23
556,-5,9,139,-42,-31,6,2021-08-24
557,-5,9,135,-42,-31,6,2021-08-25
558,-5,9,133,-42,-30,6,2021-08-26
559,-5,9,133,-41,-29,6,2021-08-27
560,-4,9,133,-40,-29,6,2021-08-28
561,-4,10,134,-40,-29,6,2021-08-29
