Geographic code,Geographic_name_english,Longitude,Latitude,Population_ 2016,Geographic code_ Census division,CSD type_ english
3544018,Bracebridge,-79.3078787,45.0389565,16010,3544,City
3511015,Greater_Napanee,-76.964306,44.2148382,15892,3511,City
3532004,Tillsonburg,-80.7333175,42.8658879,15872,3532,City
3560010,Kenora,-94.4893924,49.7670416,15096,3560,City
3526021,West_Lincoln,-79.6052884,43.0490189,14500,3526,City
3548055,West_Nipissing,-79.9247299,46.3679478,14364,3548,City
3543005,Clearview,-80.0950309,44.3853053,14151,3543,City
3538003,St._Clair,-82.345189,42.8025726,14086,3538,City
3547064,Pembroke,-77.1108826,45.8266513,13882,3547,City
3541045,Saugeen_Shores,-81.4035059,44.422498,13715,3541,City
3543015,Severn,-79.511947,44.7791958,13477,3543,City
3539027,Thames_Centre,-81.0975397,43.0408402,13191,3539,City
3509030,Mississippi_Mills,-76.1938403,45.2313875,13163,3509,City
3501005,South_Glengarry,-74.5731489,45.1966189,13150,3501,City
3531040,North_Perth,-80.9428911,43.7748562,13130,3531,City
3501011,South_Stormont,-74.9262624,45.0725756,13110,3501,City
3514045,Trent_Hills,-77.7962585,44.3082485,12900,3514,City
3523009,Guelph_Eramosa,-80.144189,43.61887,12854,3523,City
3502025,The_Nation,-74.9805296,45.4056351,12808,3502,City
3532018,Ingersoll,-80.884049,43.0381628,12757,3532,City
3534020,Central_Elgin,-81.2155934,42.6641312,12607,3534,City
3542004,West_Grey,-80.8543847,44.2214069,12518,3542,City
3544002,Gravenhurst,-79.3741834,44.919643,12311,3544,City
3531030,Perth_East,-80.944333,43.5298684,12261,3531,City
3523050,Wellington_North,-80.5882803,43.8977358,11914,3523,City
3514004,Brighton,-77.7368828,44.0422599,11844,3514,City
3543068,Tiny,-80.0025028,44.699827,11787,3543,City
3518039,Brock,-79.09541,44.337569,11642,3518,City
3523017,Erin,-80.0687097,43.7758018,11439,3523,City
3541024,Kincardine,-81.6365715,44.1752954,11389,3541,City
3501030,North_Dundas,-75.3630786,45.0732581,11278,3501,City
3530027,Wellesley,-80.7657804,43.5322057,11260,3530,City
3532002,Norwich,-80.5974658,42.9876575,11001,3532,City
3542047,Meaford,-80.5936871,44.6059438,10991,3542,City
3543003,Adjala-Tosorontio,-79.9416549,44.1254172,10975,3543,City
3514019,Hamilton,-79.8711024,43.2557206,10942,3514,City
3501020,South_Dundas,-75.2088341,44.9767846,10833,3501,City
3557041,Elliot_Lake,-82.650941,46.386179,10741,3557,City
3509028,Carleton_Place,-76.146546,45.140603,10644,3509,City
3538040,Lambton_Shores,-81.8671012,43.2201531,10631,3538,City
3523033,Mapleton,-80.6770787,43.7533739,10527,3523,City
3542053,Georgian_Bluffs,-81.0197989,44.6839975,10479,3542,City
3507040,Rideau_Lakes,-76.279604,44.658154,10326,3507,City
3502008,Hawkesbury,-74.604189,45.6071264,10263,3502,City
3530004,North_Dumfries,-80.3881333,43.3289207,10215,3530,City
3501050,North_Glengarry,-74.6888853,45.3661144,10109,3501,City
3540005,South_Huron,-81.5,43.316667,10096,3540,City
3543071,Tay,-79.7935893,44.7112165,10033,3543,City
3554020,Temiskaming_Shores,-79.6978808,47.5036644,9920,3554,Rural
3507014,Elizabethtown-Kitley,-75.8823643,44.7032782,9854,3507,Rural
3542015,Grey_Highlands,-80.5882803,44.3499393,9804,3542,Rural
3502023,Alfred_and_Plantagenet,-74.9031999,45.549331,9680,3502,Rural
3543019,Ramara,-79.2039586,44.6004524,9488,3543,Rural
3507021,Leeds_and_the_Thousand_Islands,-76.0680705,44.481587,9465,3507,Rural
3541032,Brockton,-81.2078164,44.1739758,9461,3541,Rural
3547075,Laurentian_Valley,-77.2611362,45.7643479,9387,3547,Rural
3534010,Malahide,-80.9428911,42.5444647,9292,3534,Rural
3540040,Huron_East,-81.283333,43.633333,9138,3540,Rural
3543072,Penetanguishene,-79.933681,44.7687678,8962,3543,Rural
3531025,West_Perth,-81.2078164,43.4908432,8865,3531,Rural
3515013,Cavan_Monaghan,-78.4524591,44.2086668,8829,3515,Rural
3547002,Arnprior,-76.3518469,45.4347445,8795,3547,Rural
3509004,Smiths_Falls,-76.0216189,44.903748,8780,3509,Rural
3502010,Champlain,-74.7028825,45.5800476,8706,3502,Rural
3523043,Minto,-80.8543847,43.9194573,8671,3523,Rural
3522012,Mono,-80.0534923,44.0033629,8609,3522,Rural
3541055,South_Bruce_Peninsula,-81.1917944,44.7316246,8416,3541,Rural
3556066,Kapuskasing,-82.400129,49.380268,8292,3556,Rural
3547048,Renfrew,-76.6877186,45.4749199,8223,3547,Rural
3532027,Zorra,-80.9428911,43.1634054,8138,3532,Rural
3522021,Shelburne,-80.2011728,44.079119,8126,3522,Rural
3554068,Kirkland_Lake,-80.031517,48.1497173,7981,3554,Rural
3538035,Plympton-Wyoming,-82.1180045,42.9797265,7795,3538,Rural
3509010,Drummond_North_Elmsley,-76.2017953,44.9702095,7773,3509,Rural
3560027,Dryden,-92.8369592,49.7800938,7749,3560,Rural
3559012,Fort_Frances,-93.3955282,48.6099494,7739,3559,Rural
3511030,Stone_Mills,-76.9746104,44.4401754,7702,3511,Rural
3542029,Hanover,-81.0254145,44.1526004,7688,3542,Rural
3532012,South-West_Oxford,-80.8322428,42.9812307,7664,3532,Rural
3509024,Beckwith,-76.0685965,45.0868518,7644,3509,Rural
3540028,Goderich,-81.7138942,43.7428345,7628,3540,Rural
3540025,Central_Huron,-81.4718387,43.6635614,7576,3540,Rural
3534011,Aylmer,-80.9828842,42.7729381,7492,3534,Rural
3532045,Blandford-Blenheim,-80.5882803,43.2114764,7399,3532,Rural
3534005,Bayham,-80.7657804,42.685688,7396,3534,Rural
3542005,Southgate,-80.5882803,44.1243696,7354,3542,Rural
3507006,Augusta,-75.6425085,44.7295507,7353,3507,Rural
3523001,Puslinch,-80.097349,43.432922,7336,3523,Rural
3531016,St._Marys,-81.140653,43.2595868,7265,3531,Rural
3547003,McNab_Braeside,-76.5008625,45.4452338,7178,3547,Rural
3540010,Bluewater,-81.6,43.483333,7136,3540,Rural
3532038,East_Zorra-Tavistock,-80.7879407,43.2470056,7129,3532,Rural
3507004,Edwardsburgh_Cardinal,-75.5073207,44.8447444,7093,3507,Rural
3541015,Huron-Kinloss,-81.5596427,44.0496367,7069,3541,Rural
3542045,The_Blue_Mountains,-80.4080947,44.5404905,7025,3542,Rural
3547056,Whitewater_Region,-76.8772458,45.7202925,7009,3547,Rural
3501042,North_Stormont,-75.0953665,45.1907885,6873,3501,Rural
3514024,Alnwick_Haldimand,-77.973865,43.9523161,6869,3514,Rural
3541043,Arran-Elderslie,-81.2078164,44.3995556,6803,3541,Rural
3560090,Kenora_Unorganized,-89.14786,54.7821676,6737,3560,Rural
3515023,Douro-Dummer,-78.1113503,44.4908805,6709,3515,Rural
3515005,Otonabee-South_Monaghan,-78.1564432,44.2715843,6670,3515,Rural
3542037,Chatsworth,-80.8543847,44.3716712,6630,3542,Rural
3544053,Muskoka_Lakes,-79.5595975,45.160298,6588,3544,Rural
3549032,Parry_Sound,-80.034783,45.3473925,6408,3549,Rural
3526014,Wainfleet,-79.3757559,42.923366,6372,3526,Rural
3514014,Cramahe,-77.8824596,44.0927697,6355,3514,Rural
3539041,North_Middlesex,-81.5337693,43.1470282,6352,3539,Rural
3546024,Dysart_et_al,-78.4263981,45.239608,6280,3546,Rural
3546015,Minden_Hills,-78.725375,44.9271767,6088,3546,Rural
3512030,Tweed,-77.310249,44.474728,6044,3512,Rural
3509021,Perth,-76.2485592,44.8988097,5930,3509,Rural
3558011,Oliver_Paipoonge,-89.5347384,48.43782,5922,3558,Rural
3558090,Thunder_Bay_Unorganized,-88.165171,50.333746,5872,3558,Rural
3538019,Petrolia,-82.1444338,42.8818379,5742,3538,Rural
3557095,Algoma_Unorganized_North_Part,-84.2147323,47.7762571,5739,3557,Rural
3539005,Southwest_Middlesex,-81.7130522,42.7390412,5723,3539,Rural
3509015,Tay_Valley,-76.3637781,44.8951585,5665,3509,Rural
3541004,South_Bruce,-81.2078164,44.0229962,5639,3541,Rural
3540063,Ashfield-Colborne-Wawanosh,-81.647344,43.9046462,5422,3540,Rural
3515044,Trent_Lakes,-78.4180759,44.6725372,5397,3515,Rural
3509039,Lanark_Highlands,-76.4837269,45.0614489,5338,3509,Rural
3556042,Cochrane,-81.0299298,49.0650259,5321,3556,Rural
3560034,Sioux_Lookout,-91.922038,50.0978321,5272,3560,Rural
3507024,Gananoque,-76.161864,44.330618,5159,3507,Rural
3556076,Hearst,-83.6669552,49.6880184,5070,3556,Rural
3552026,Espanola,-81.771057,46.2657181,4996,3552,Rural
3534042,West_Elgin,-81.647344,42.5982006,4995,3534,Rural
3540055,North_Huron,-81.4059186,43.8297581,4932,3540,Rural
3512020,Stirling-Rawdon,-77.5921337,44.360297,4882,3512,Rural
3512026,Centre_Hastings,-77.4536103,44.4009943,4774,3512,Rural
3548034,East_Ferris,-79.2822884,46.2250229,4750,3548,Rural
3539060,Lucan_Biddulph,-81.3619402,43.215177,4700,3539,Rural
3558075,Greenstone,-87.283333,49.766667,4636,3558,Rural
3556031,Iroquois_Falls,-80.6731665,48.7679814,4537,3556,Rural
3515030,Havelock-Belmont-Methuen,-77.8974669,44.5429982,4530,3515,Rural
3534024,Southwold,-81.295925,42.7273913,4421,3534,Rural
3510035,Central_Frontenac,-76.8419637,44.7253406,4373,3510,Rural
3549003,Seguin,-79.7811293,45.3320359,4304,3549,Rural
3512001,Tyendinaga,-77.2244292,44.3192398,4297,3512,Rural
3507008,Prescott,-75.518972,44.709294,4222,3507,Rural
3547030,Madawaska_Valley,-77.6770152,45.5034326,4123,3547,Rural
3515003,Asphodel-Norwood,-77.9967043,44.3480847,4109,3515,Rural
3547096,Deep_River,-77.4933397,46.0976628,4109,3547,Rural
3560042,Red_Lake,-93.828916,51.0145968,4107,3560,Rural
3522008,Amaranth,-80.2321313,43.9433318,4079,3522,Rural
3512076,Hastings_Highlands,-77.8973726,45.2221641,4078,3512,Rural
3541069,Northern_Bruce_Peninsula,-81.2717096,45.1915212,3999,3541,Rural
3512046,Marmora_and_Lake,-77.682106,44.482947,3953,3512,Rural
3512061,Bancroft,-77.8548814,45.0558574,3881,3512,Rural
3540046,Howick,-81.0533854,43.8784603,3873,3540,Rural
3534030,Dutton_Dunwich,-81.4718387,42.6630094,3866,3534,Rural
3549066,Callander,-79.366393,46.222198,3863,3549,Rural
3531013,Perth_South,-81.0975397,43.3100001,3810,3531,Rural
3509001,Montague,-75.9466715,44.9765637,3761,3509,Rural
3538043,Warwick,-81.909826,43.0048856,3692,3538,Rural
3547035,Bonnechere_Valley,-77.2026877,45.4506004,3674,3547,Rural
3502044,Casselman,-75.0893653,45.3107048,3548,3502,Rural
3540050,Morris-Turnberry,-81.295925,43.8024122,3496,3540,Rural
3522016,Mulmur,-80.0387976,44.1698421,3478,3522,Rural
3557038,Blind_River,-82.9539729,46.1847168,3472,3557,Rural
3549060,Powassan,-79.368324,46.0807239,3455,3549,Rural
3546005,Highlands_East,-78.206467,44.9517578,3343,3546,Rural
3502001,East_Hawkesbury,-74.4780275,45.5104445,3296,3502,Rural
3558059,Marathon,-86.3821956,48.716744,3273,3558,Rural
3554094,Timiskaming_Unorganized_West_Part,-80.8118994,47.5535643,3257,3554,Rural
3552023,Sables-Spanish_Rivers,-82.0149476,46.2760114,3214,3552,Rural
3544027,Lake_of_Bays,-78.9801596,45.1811114,3167,3544,Rural
3507052,Merrickville-Wolford,-75.8105866,44.8455906,3067,3507,Rural
3507042,Athens,-75.9511384,44.6265326,3013,3507,Rural
3522019,Melancthon,-80.2640746,44.1073092,3008,3522,Rural
3539047,Adelaide-Metcalfe,-81.734942,42.915029,2990,3539,Rural
3547090,Laurentian_Hills,-77.507622,45.98577,2961,3547,Rural
3522010,Grand_Valley,-80.3881333,43.9377374,2956,3522,Rural
3547043,Admaston_Bromley,-76.8219123,45.4066937,2935,3547,Rural
3547070,North_Algona_Wilberforce,-77.1996016,45.6227626,2915,3547,Rural
3557076,Wawa,-84.7710588,47.992417,2905,3557,Rural
3547046,Horton,-76.6904129,45.5253471,2887,3547,Rural
3556092,Cochrane_Unorganized_North_Part,-83.0158522,50.4700387,2865,3556,Rural
3558028,Shuniah,-88.6650479,48.671288,2798,3558,Rural
3538016,Enniskillen,-82.1060683,42.8444792,2796,3538,Rural
3552093,Sudbury_Unorganized_North_Part,-81.8170577,47.4718117,2755,3552,Rural
3559001,Atikokan,-91.6181716,48.7597531,2753,3559,Rural
3551017,Northeastern_Manitoulin_and_the_Islands,-81.3835994,45.7313093,2712,3551,Rural
3549031,McDougall,-80.0301093,45.4301566,2702,3549,Rural
3552001,French_River,-80.5373359,46.0361583,2662,3552,Rural
3552013,Markstay-Warren,-80.41645,46.454695,2656,3552,Rural
3507017,Front_of_Yonge,-75.8773667,44.5141607,2607,3507,Rural
3522001,East_Garafraxa,-80.254435,43.8506548,2579,3522,Rural
3512004,Tyendinaga_Mohawk_Territory,-77.1600201,44.1906387,2524,3512,Rural
3547008,Greater_Madawaska,-76.889597,45.2617817,2518,3547,Rural
3551043,Wikwemikong_Unceded,-81.7214899,45.8036471,2500,3551,Rural
3544065,Georgian_Bay,-81.1131806,45.4061848,2499,3544,Rural
3515037,North_Kawartha,-78.0821423,44.7879049,2479,3515,Rural
3549014,Perry,-79.3143561,45.4981776,2454,3549,Rural
3556014,Black_River-Matheson,-80.4641172,48.532885,2438,3556,Rural
3547033,Killaloe_Hagarty_and_Richards,-77.5177385,45.6392314,2420,3547,Rural
3538015,Brooke-Alvinston,-81.8965799,42.8387951,2411,3538,Rural
3546018,Algonquin_Highlands,-78.7081241,45.3821791,2351,3546,Rural
3511035,Addington_Highlands,-77.3373735,44.9331704,2323,3511,Rural
3549096,Parry_Sound_Unorganized_Centre_Part,-80.3032929,45.873808,2143,3549,Rural
3551006,Central_Manitoulin,-82.2024639,45.5999242,2084,3551,Rural
3512036,Madoc,-77.4726363,44.5052295,2078,3512,Rural
3558001,Neebing,-89.462449,48.188564,2055,3558,Rural
3538031,Point_Edward,-82.4048423,42.9954129,2037,3538,Rural
3560071,Sandy_Lake_88,-93.3294051,53.0634269,2017,3560,Rural
3548021,Mattawa,-78.702193,46.31748,1993,3548,Rural
3548027,Bonfield,-79.1469527,46.2309767,1975,3548,Rural
3538007,Dawn-Euphemia,-82.0842901,42.7071129,1967,3538,Rural
3552092,Chapleau,-83.4026108,47.8423282,1964,3552,Rural
3558066,Manitouwadge,-85.8288146,49.1258627,1937,3558,Rural
3510045,North_Frontenac,-76.9293143,44.962281,1898,3510,Rural
3548094,Nipissing_Unorganized_North_Part,-79.4717076,46.5728855,1784,3548,Rural
3512002,Deseronto,-77.0487329,44.1953988,1774,3512,Rural
3510005,Frontenac_Islands,-76.5025742,44.1604277,1760,3510,Rural
3549071,Nipissing,-79.515361,46.097228,1707,3549,Rural
3557035,Huron_Shores,-83.2115889,46.0843793,1664,3557,Rural
3558044,Nipigon,-88.268316,49.0157351,1642,3558,Rural
3558054,Terrace_Bay,-87.0966258,48.783999,1611,3558,Rural
3557051,Macdonald_Meredith_and_Aberdeen_Additional,-83.9546007,46.4917019,1609,3557,Rural
3548073,Nipissing_10,-79.7902944,46.3396694,1593,3548,Rural
3538004,Walpole_Island_46,-82.5077593,42.5701997,1589,3538,Rural
3556094,Factory_Island_1,-80.5946174,51.2659888,1560,3556,Rural
3547020,Brudenell_Lyndoch_and_Raglan,-77.363107,45.3158888,1503,3547,Rural
3560051,Attawapiskat_91A,-82.4232972,52.9268757,1501,3560,Rural
3501007,Akwesasne_(Part)_59,-74.7227709,45.0022135,1487,3501,Rural
3556106,Moosonee,-80.640049,51.273089,1481,3556,Rural
3554052,Englehart,-79.8738283,47.8242362,1479,3554,Rural
3549046,Strong,-79.4694871,45.738895,1439,3549,Rural
3549019,Armour,-79.3656183,45.6175021,1414,3549,Rural
3560050,Fort_Albany_(Part)_67,-81.7276723,52.3063606,1404,3560,Rural
3512058,Faraday,-77.8972721,44.994633,1401,3512,Rural
3549043,Magnetawan,-79.643979,45.665241,1390,3549,Rural
3559090,Rainy_River_Unorganized,-91.1989814,48.5525242,1385,3559,Rural
3559019,Emo,-93.8350254,48.6322193,1333,3559,Rural
3556048,Smooth_Rock_Falls,-81.6208874,49.2753423,1330,3556,Rural
3548031,Chisholm,-79.1829048,46.0995957,1291,3548,Rural
3557028,Thessalon,-83.556368,46.255953,1286,3557,Rural
3552004,St.-Charles,-80.4167049,46.362467,1269,3552,Rural
3557008,St._Joseph,-84.0028941,46.263042,1240,3557,Rural
3556056,Moonbeam,-82.1541332,49.3431571,1231,3556,Rural
3560001,Ignace,-91.658744,49.415946,1202,3560,Rural
3554036,Armstrong,-89.058273,50.296741,1166,3554,Rural
3557071,Sagamok,-82.1138009,46.1286064,1140,3557,Rural
3554008,Cobalt,-79.6860815,47.3953302,1128,3554,Rural
3549036,Carling,-80.50375,45.2811088,1125,3549,Rural
3557074,Garden_River_14,-84.0367955,46.5829997,1125,3557,Rural
3549056,South_River,-79.3795728,45.8410378,1114,3549,Rural
3549028,McKellar,-79.8497018,45.4712069,1111,3549,Rural
3548001,South_Algonquin,-78.1177022,45.5124252,1096,3548,Rural
3515019,Curve_Lake_First_Nation_35,-78.3585918,44.4839213,1059,3515,Rural
3558051,Schreiber,-87.2677575,48.8099605,1059,3558,Rural
3557011,Laird,-84.0675212,46.3818801,1047,3557,Rural
3541057,Saugeen_29,-81.3069315,44.5476201,1041,3541,Rural
3560075,Kitchenuhmaykoosib_Aaki_84_(Big_Trout_Lake),-89.7447304,53.7800436,1024,3560,Rural
3548013,Papineau-Cameron,-78.474666,46.2038102,1016,3548,Rural
3560053,Fort_Hope_64,-87.8334418,51.6213428,1014,3560,Rural
3551011,Assiginack,-81.813685,45.737315,1013,3551,Rural
3538056,Kettle_Point_44,-82.0025626,43.1897876,1011,3538,Rural
3557066,Prince,-84.5238307,46.5590135,1010,3557,Rural
3560032,Ear_Falls,-93.3565202,50.7558385,995,3560,Rural
3549022,Burk's_Falls,-79.408748,45.619883,981,3549,Rural
3558003,Fort_William_52,-89.2715224,48.3067617,981,3558,Rural
3557096,Hornepayne,-84.7714443,49.2122192,980,3557,Rural
3560056,Lac_Seul_28,-92.1909023,50.2347554,974,3560,Rural
3560021,Machin,-93.1467052,49.7711643,971,3560,Rural
3559011,Alberton,-93.5427217,48.6045819,969,3559,Rural
3549048,Sundridge,-79.3963867,45.7690306,961,3549,Rural
3559016,La_Vallee,-93.6593047,48.6210077,938,3559,Rural
3549039,Whitestone,-79.983333,45.683333,916,3549,Rural
3558041,Red_Rock,-88.259433,48.945248,895,3558,Rural
3560059,Weagamow_Lake_87,-91.263769,52.9639999,886,3560,Rural
3551045,M'Chigeeng_22_(West_Bay_22),-82.1839579,45.8129281,884,3551,Rural
3549018,Kearney,-79.2235611,45.556352,882,3549,Rural
3549054,Machar,-79.4691796,45.8570089,882,3549,Rural
3543050,Mnjikaning_First_Nation_32,-79.3069058,44.6885723,878,3543,Rural
3551026,Gore_Bay,-82.4597783,45.9114017,867,3551,Rural
3560070,Deer_Lake,-78.077904,45.056331,867,3560,Rural
3512065,Carlow_Mayo,-77.6163789,45.1346915,864,3512,Rural
3560096,Kasabonika_Lake,-88.607778,53.530833,849,3560,Rural
3560061,Wabaseemoong,-94.9307553,50.1715182,827,3560,Rural
3549012,McMurrich_Monteith,-79.4508438,45.4538231,824,3549,Rural
3558019,Conmee,-89.6830891,48.4583031,819,3558,Rural
3559063,Couchiching_16A,-93.4488074,48.6776856,810,3559,Rural
3559042,Rainy_River,-94.5695247,48.7216623,807,3559,Rural
3548069,Temagami,-79.7895671,47.0633734,802,3548,Rural
3560079,Webequie,-87.2982885,52.9615432,778,3560,Rural
3556070,Val_Rita-Harty,-82.5980122,49.4953634,762,3556,Rural
3556093,Fort_Albany_(Part)_67,-81.7276723,52.3063606,759,3556,Rural
3557016,Johnson,-83.9227185,46.3444108,751,3557,Rural
3554062,Larder_Lake,-79.7152076,48.0977297,730,3554,Rural
3557039,Spanish,-82.3422779,46.1947959,712,3557,Rural
3554044,Charlton_and_Dack,-79.9209827,47.8124071,686,3554,Rural
3512054,Wollaston,-77.8354298,44.8557856,670,3512,Rural
3558016,O'Connor,-89.700394,48.36924,663,3558,Rural
3557019,Plummer_Additional,-83.7300933,46.3831381,660,3557,Rural
3538018,Oil_Springs,-82.119481,42.7837894,648,3538,Rural
3549024,Ryerson,-79.5187368,45.5935706,648,3549,Rural
3556077,Mattice-Val_Ct,-83.2484722,49.6086278,648,3556,Rural
3557091,White_River,-85.274809,48.593953,645,3557,Rural
3538025,Sarnia_45,-82.4048423,42.9180165,639,3538,Rural
3559024,Chapple,-93.9563027,48.7719921,638,3559,Rural
3560058,English_River_21,-94.0398854,50.1594907,638,3560,Rural
3552028,Baldwin,-81.7468691,46.3147789,620,3552,Rural
3541060,Neyaashiinigmiing_27,-81.0330361,44.9166375,615,3541,Rural
3543069,Christian_Island_30,-80.203564,44.8316783,614,3543,Rural
3557079,Dubreuilville,-84.5508246,48.348505,613,3557,Rural
3554058,McGarry,-79.5697662,48.1448398,609,3554,Rural
3529021,New_Credit_(Part)_40A,-80.0814292,43.0001853,605,3529,Rural
3551021,Billings,-82.216667,45.85,603,3551,Rural
3554001,Coleman,-79.7539543,47.3643361,595,3554,Rural
3560085,Wunnumin_1,-89.2746576,52.8558499,593,3560,Rural
3507033,Westport,-76.3996659,44.6776761,590,3507,Rural
