Date,BEDCAP_ICU,VENTCAP_ICU,BEDCAP_OTHER,VENTCAP_OTHER,COVID_NEWICU,COVID_ICU,COVID_NEWOTHER,COVID_OTHER,COVID_VENT,VENTCAP_TOTAL,NONCOVID_ICU,NONCOVID_OTHER,NONCOVID_VENT,COVID_HOSP
2020-10-23,5033,2337,64465,922,6,228,73,841,124,3259,2193,37203,642,1069
2020-10-24,5033,2337,64914,922,6,233,101,870,124,3259,1722,27222,494,1103
2020-10-25,5033,2337,64896,922,3,232,49,889,121,3259,1714,27534,489,1121
2020-10-26,5033,2337,64930,922,8,229,71,922,123,3259,2530,40042,713,1151
2020-10-27,5033,2337,65257,922,4,228,86,952,124,3259,2278,38305,629,1180
2020-10-28,5033,2337,65454,922,2,223,72,943,119,3259,2265,38734,644,1166
2020-10-29,5033,2337,65446,922,3,227,79,969,117,3259,2381,41146,638,1196
2020-10-30,5033,2337,65362,922,8,228,75,968,122,3259,2217,37739,634,1196
2020-10-31,5033,2337,65366,922,3,224,55,990,114,3259,1725,27174,506,1214
2020-11-01,5033,2337,64996,922,5,227,59,1032,112,3259,1769,26997,543,1259
2020-11-02,5019,2323,65026,922,7,229,109,1094,121,3245,2358,39708,655,1323
2020-11-03,5019,2323,64689,922,6,235,93,1114,126,3245,2309,39455,688,1349
2020-11-04,5066,2376,65621,922,5,252,99,1102,131,3298,2301,40252,686,1354
2020-11-05,5066,2376,63977,922,3,242,104,1149,127,3298,2419,41058,656,1391
2020-11-06,5077,2387,65500,922,6,254,97,1131,132,3309,2180,37530,591,1385
2020-11-07,5077,2387,64989,922,5,259,103,1136,130,3309,2112,35340,521,1395
2020-11-08,5091,2401,65477,922,11,271,108,1218,137,3323,1728,27478,507,1489
2020-11-09,5093,2956,65534,1227,15,279,110,1249,135,4183,2389,42256,835,1528
2020-11-10,5172,2960,65986,1227,21,300,172,1323,148,4187,1956,31611,696,1623
2020-11-11,5172,2960,66610,1227,7,320,131,1353,156,4187,2146,36629,688,1673
2020-11-12,5172,2960,66579,1227,11,333,145,1415,172,4187,2344,42458,765,1748
2020-11-13,5176,2974,66332,1227,8,342,157,1429,177,4201,2239,39599,748,1771
2020-11-14,5176,2974,66577,1227,9,363,140,1439,178,4201,2136,37164,547,1802
2020-11-15,5176,2974,66601,1227,14,377,115,1458,180,4201,1759,29065,512,1835
2020-11-16,5188,2986,66405,1227,19,402,175,1532,200,4213,2313,41802,668,1934
2020-11-17,5188,2986,66719,1227,9,403,161,1577,210,4213,2282,40517,790,1980
2020-11-18,5188,2986,66719,1227,9,423,157,1570,217,4213,2264,40146,764,1993
2020-11-19,5188,2987,66531,1227,13,419,169,1540,229,4214,2306,42063,771,1959
2020-11-20,5193,2987,62097,1227,11,420,189,1584,224,4214,2190,36208,691,2004
2020-11-21,5152,2988,62115,1227,13,422,170,1646,225,4215,2096,33921,498,2068
2020-11-22,5194,2988,61694,1227,17,443,172,1661,231,4215,1689,28338,501,2104
2020-11-23,5197,2991,61372,1227,14,450,177,1761,236,4218,2264,38268,692,2211
2020-11-24,5173,3005,58909,1213,9,451,188,1804,239,4218,2195,34441,741,2255
2020-11-25,5175,3009,59311,1213,16,442,195,1845,248,4222,2234,34525,734,2287
2020-11-26,5177,3009,59104,1214,25,455,203,1994,241,4223,2316,36192,779,2449
2020-11-27,5182,3013,59353,1215,26,465,196,2035,232,4228,2155,33730,757,2500
2020-11-28,5183,3014,59215,1215,13,470,161,2073,228,4229,2066,26768,526,2543
2020-11-29,5183,3014,59321,1215,17,487,150,2111,247,4229,1720,26553,567,2598
2020-11-30,5190,3014,59973,1214,16,519,191,2197,254,4228,2252,36130,772,2716
2020-12-01,5189,3013,59507,1214,28,525,192,2253,260,4227,2173,34442,769,2778
2020-12-02,5189,3013,59178,1214,31,544,241,2286,263,4227,2119,33889,757,2830
2020-12-03,5189,3013,59487,1214,20,556,184,2348,262,4227,2189,36161,750,2904
2020-12-04,5242,3047,59631,1225,14,556,218,2409,259,4272,2002,31656,590,2965
2020-12-05,5242,3047,59577,1225,21,562,194,2465,254,4272,1686,26332,539,3027
2020-12-06,5242,3047,59612,1225,20,573,162,2558,267,4272,1671,26318,511,3131
2020-12-07,5242,3047,59517,1225,16,589,191,2605,283,4272,2197,35342,770,3194
2020-12-08,5242,3047,59804,945,16,602,205,2577,266,3992,2151,33898,787,3179
2020-12-09,5242,3047,59532,945,13,606,192,2525,280,3992,2163,33718,775,3131
2020-12-10,5242,3047,59451,945,39,646,242,2582,274,3992,2270,35695,782,3228
2020-12-11,5241,3042,59638,944,20,650,194,2557,300,3986,2143,33065,656,3207
2020-12-12,5241,3042,59226,944,16,659,201,2577,298,3986,2012,30856,528,3236
2020-12-13,5241,3042,59706,944,13,651,191,2692,311,3986,1681,26114,533,3343
2020-12-14,5241,3042,59468,944,20,659,283,2826,322,3986,2236,34946,787,3485
2020-12-15,5241,3042,59613,944,19,681,216,2767,333,3986,2150,33682,740,3448
2020-12-16,5241,3042,59143,944,27,697,275,2771,360,3986,2126,32977,740,3468
2020-12-17,5241,3042,59707,944,16,696,236,2778,354,3986,2221,35126,782,3474
2020-12-18,5241,3053,59781,937,20,703,227,2754,338,3990,2057,30642,656,3457
2020-12-19,5241,3053,59515,937,20,706,203,2799,342,3990,1984,30133,508,3505
2020-12-20,5241,3053,59687,937,15,701,236,2936,341,3990,1639,25149,511,3637
2020-12-21,5241,3053,59731,937,12,701,238,2956,356,3990,2150,33644,719,3657
2020-12-22,5241,3053,59824,937,23,702,249,2924,370,3990,2047,31551,738,3626
2020-12-23,5241,3053,59751,937,16,699,255,2888,364,3990,1978,30443,723,3587
2020-12-24,5241,3056,58864,937,7,694,157,2711,337,3993,1821,27000,608,3405
2020-12-25,5241,3056,59396,937,9,700,138,2844,363,3993,1787,26893,486,3544
2020-12-26,5241,3056,60014,937,28,712,329,3083,370,3993,1826,27838,506,3795
2020-12-27,5241,3056,60095,937,18,735,237,3153,384,3993,1525,23870,519,3888
2020-12-28,5241,3056,59302,937,10,744,190,3281,380,3993,1994,30896,566,4025
2020-12-29,5241,3056,59685,937,35,776,412,3492,378,3993,1987,31349,689,4268
2020-12-30,5241,3056,59388,937,14,793,259,3488,375,3993,2008,31459,689,4281
2020-12-31,5241,3053,59108,936,8,787,190,3431,385,3989,1921,30804,685,4218
2021-01-01,5241,3053,59468,936,11,778,189,3398,386,3989,1833,29432,485,4176
2021-01-02,5241,3053,59513,936,35,793,348,3595,392,3989,1850,29520,489,4388
2021-01-03,5241,3053,59449,936,21,804,293,3712,373,3989,1543,24725,449,4516
2021-01-04,5241,3053,59839,936,24,839,343,3754,430,3989,2071,35557,740,4593
2021-01-05,5241,3053,59945,936,31,852,352,3817,447,3989,2045,34245,728,4669
2021-01-06,5241,3053,60020,936,20,848,292,3813,440,3989,2124,33980,713,4661
2021-01-07,5241,3053,60014,936,23,848,322,3830,449,3989,2157,36153,722,4678
2021-01-08,5241,3047,60008,937,17,860,269,3777,450,3984,1934,31649,652,4637
2021-01-09,5241,3047,59919,937,16,856,303,3832,468,3984,1557,26040,517,4688
2021-01-10,5241,3047,59927,937,20,865,268,3996,471,3984,1588,26109,502,4861
2021-01-11,5241,3047,59981,937,29,881,306,4049,470,3984,2111,35692,732,4930
2021-01-12,5242,3047,59823,937,21,888,321,4032,494,3984,2093,33677,729,4920
2021-01-13,5242,3047,59989,948,37,903,322,4025,500,3995,2069,33602,715,4928
2021-01-14,5242,3047,59910,948,21,894,309,3977,491,3995,2078,33937,700,4871
2021-01-15,5242,3055,59901,951,17,889,309,3889,487,4006,2012,31204,540,4778
2021-01-16,5242,3056,59778,951,16,881,220,3838,492,4007,1938,25638,503,4719
2021-01-17,5242,3056,59940,951,16,878,246,3901,504,4007,1607,26013,528,4779
2021-01-18,5256,3058,59998,951,15,873,260,3874,496,4009,2113,35608,730,4747
2021-01-19,5256,3058,59871,951,20,876,312,3757,498,4009,2023,33728,729,4633
2021-01-20,5256,3058,59990,951,24,860,298,3704,497,4009,2040,33754,701,4564
2021-01-21,5256,3058,59533,951,14,849,254,3623,498,4009,2127,35482,722,4472
2021-01-22,5256,3059,59910,954,24,876,261,3527,505,4013,1952,31454,558,4403
2021-01-23,5257,3059,59766,954,21,873,174,3399,499,4013,1919,26071,521,4272
2021-01-24,5257,3059,59869,954,21,873,194,3413,479,4013,1567,26033,482,4286
2021-01-25,5251,3053,59960,954,19,850,230,3354,497,4007,2089,35486,675,4204
2021-01-26,5250,3053,59738,954,23,855,212,3225,486,4007,2065,33762,696,4080
2021-01-27,5250,3053,59685,954,14,833,234,3166,480,4007,2033,33626,716,3999
2021-01-28,5250,3053,59701,954,17,843,212,3088,479,4007,2034,32842,715,3931
2021-01-29,5256,3064,59709,952,14,812,205,2925,426,4016,1929,31477,522,3737
2021-01-30,5242,3064,59825,952,10,806,164,2896,469,4016,1575,31248,500,3702
2021-01-31,5242,3064,59765,952,9,799,151,2883,466,4016,1551,26169,491,3682
2021-02-01,5246,3065,59420,952,9,771,169,2735,458,4017,2040,33967,641,3506
2021-02-02,5246,3065,59947,952,12,759,266,2805,451,4017,2105,34263,722,3564
2021-02-03,5483,3249,59373,952,14,736,176,2696,430,4201,2111,33553,737,3432
2021-02-04,5483,3249,59511,952,5,727,175,2589,415,4201,2230,36041,720,3316
2021-02-05,5514,3246,59593,955,11,709,176,2473,413,4201,2142,33555,628,3182
2021-02-06,5483,3246,59576,955,12,717,133,2403,414,4201,1660,26124,524,3120
2021-02-07,5510,3275,59762,955,13,712,168,2445,407,4230,1678,26139,487,3157
2021-02-08,5501,3260,59739,955,9,678,133,2370,392,4215,2213,35825,724,3048
2021-02-09,5501,3260,59966,955,13,668,144,2301,388,4215,2135,34297,721,2969
2021-02-10,5501,3260,59894,955,13,644,132,2170,372,4215,2154,34241,722,2814
2021-02-11,5501,3260,59887,955,10,623,138,2084,357,4215,2183,34464,661,2707
2021-02-12,5501,3259,59595,959,6,614,129,2007,359,4218,2072,31655,701,2621
2021-02-13,5501,3259,59658,959,7,601,114,2004,353,4218,1687,31332,573,2605
2021-02-14,5501,3259,59667,959,13,606,123,1997,348,4218,1656,26079,573,2603
2021-02-15,5501,3259,59318,959,9,598,100,1922,349,4218,1803,33569,555,2520
2021-02-16,5501,3259,59819,959,17,606,112,1959,354,4218,2143,34260,744,2565
2021-02-17,5501,3259,59732,959,17,576,149,1891,330,4218,2162,34531,761,2467
2021-02-18,5501,3259,59920,959,10,562,153,1883,320,4218,2272,36694,784,2445
