date,retail,grocery,park,trainsit,workplace,residential
4/28/2020,-51,-18,-3,-65,-61,18
4/29/2020,-53,-23,-31,-68,-61,25
4/30/2020,-51,-18,-24,-67,-61,26
5/1/2020,-51,-18,10,-63,-59,25
5/2/2020,-54,-23,1,-54,-39,14
5/3/2020,-49,-21,62,-52,-36,11
5/4/2020,-49,-18,-3,-66,-59,23
5/5/2020,-48,-14,4,-64,-59,23
5/6/2020,-47,-15,16,-63,-59,23
5/7/2020,-49,-14,-1,-65,-59,24
5/8/2020,-51,-16,-21,-65,-58,25
5/9/2020,-50,-14,-32,-59,-36,14
5/10/2020,-43,-16,-10,-57,-32,11
5/11/2020,-49,-22,-16,-66,-58,23
5/12/2020,-46,-14,0,-63,-56,22
5/13/2020,-42,-12,35,-60,-56,22
5/14/2020,-45,-15,-12,-64,-57,24
5/15/2020,-46,-15,-4,-63,-57,24
5/16/2020,-43,-14,92,-46,-33,10
5/17/2020,-40,-14,33,-56,-32,10
5/18/2020,-68,-56,-6,-78,-83,30
5/19/2020,-36,0,24,-59,-54,20
5/20/2020,-33,0,68,-56,-54,20
5/21/2020,-33,-2,80,-56,-54,20
5/22/2020,-38,-8,68,-56,-52,20
5/23/2020,-37,-9,114,-42,-25,9
5/24/2020,-34,-14,100,-46,-25,8
5/25/2020,-33,-7,71,-57,-54,19
5/26/2020,-33,-5,60,-56,-51,18
5/27/2020,-32,-5,60,-56,-52,19
5/28/2020,-36,-9,13,-58,-52,21
5/29/2020,-38,-10,17,-57,-50,21
5/30/2020,-36,-9,67,-41,-16,9
5/31/2020,-32,-12,84,-44,-15,7
6/1/2020,-31,-6,79,-54,-49,17
6/2/2020,-34,-6,51,-55,-49,18
6/3/2020,-33,-6,58,-55,-49,19
6/4/2020,-31,-3,96,-53,-49,18
6/5/2020,-35,-9,71,-55,-48,18
6/6/2020,-33,-7,131,-40,-15,8
6/7/2020,-28,-10,143,-43,-14,6
6/8/2020,-29,-6,98,-54,-48,16
6/9/2020,-31,-5,88,-54,-47,17
6/10/2020,-30,-6,45,-56,-48,18
6/11/2020,-28,-2,91,-52,-47,18
6/12/2020,-31,-6,88,-52,-46,17
6/13/2020,-29,-6,139,-36,-9,7
6/14/2020,-25,-9,153,-40,-9,5
6/15/2020,-26,-4,108,-52,-47,16
6/16/2020,-26,0,112,-51,-46,15
6/17/2020,-26,-2,110,-51,-46,16
6/18/2020,-25,2,121,-50,-46,16
6/19/2020,-27,-1,117,-49,-45,14
6/20/2020,-27,1,166,-34,-7,4
6/21/2020,-24,-6,141,-40,-4,3
6/22/2020,-27,-6,86,-52,-48,15
6/23/2020,-28,-4,48,-53,-48,16
6/24/2020,-23,0,85,-49,-46,16
6/25/2020,-22,2,120,-47,-45,15
6/26/2020,-26,-2,137,-46,-44,14
6/27/2020,-27,-4,140,-32,-9,5
6/28/2020,-22,-7,194,-33,-3,3
6/29/2020,-18,3,140,-50,-47,13
6/30/2020,-7,29,145,-46,-45,11
7/1/2020,-47,-39,276,-59,-71,18
7/2/2020,-16,11,136,-49,-49,14
7/3/2020,-22,4,157,-49,-51,15
7/4/2020,-25,-3,203,-34,-9,4
7/5/2020,-20,-7,184,-36,-8,2
7/6/2020,-19,2,135,-50,-47,14
7/7/2020,-20,3,120,-49,-46,14
7/8/2020,-20,1,106,-50,-46,14
7/9/2020,-20,4,121,-49,-45,14
7/10/2020,-25,-2,108,-49,-45,14
7/11/2020,-26,-3,88,-38,-9,6
7/12/2020,-18,-5,180,-35,-6,3
7/13/2020,-19,-1,126,-50,-46,13
7/14/2020,-19,2,142,-49,-45,13
7/15/2020,-18,1,133,-50,-45,13
7/16/2020,-21,2,69,-51,-45,15
7/17/2020,-21,0,162,-47,-43,12
7/18/2020,-22,-2,210,-32,-6,3
7/19/2020,-23,-9,111,-40,-10,4
7/20/2020,-17,3,154,-49,-46,12
7/21/2020,-18,3,145,-49,-45,13
7/22/2020,-21,-2,68,-52,-45,15
7/23/2020,-18,4,148,-48,-44,13
7/24/2020,-22,-1,165,-47,-43,12
7/25/2020,-22,-3,220,-31,-5,2
7/26/2020,-17,-6,191,-35,-6,2
7/27/2020,-20,-1,109,-51,-47,13
7/28/2020,-18,4,147,-49,-45,12
7/29/2020,-16,2,125,-49,-45,13
7/30/2020,-14,7,155,-46,-45,12
7/31/2020,-17,4,180,-43,-45,10
8/1/2020,-21,-3,229,-28,-9,1
8/2/2020,-18,-6,86,-40,-14,4
8/3/2020,-30,-23,178,-61,-74,18
8/4/2020,-18,3,63,-50,-47,13
8/5/2020,-13,5,148,-47,-45,12
8/6/2020,-13,4,173,-46,-44,12
8/7/2020,-19,-3,169,-45,-43,11
8/8/2020,-18,-4,232,-28,-5,1
8/9/2020,-14,-7,180,-33,-6,1
8/10/2020,-16,-2,142,-50,-45,12
8/11/2020,-16,1,128,-49,-44,12
8/12/2020,-14,0,155,-48,-44,12
8/13/2020,-14,2,164,-47,-44,12
8/14/2020,-18,-2,165,-45,-43,10
8/15/2020,-18,-4,225,-28,-5,1
8/16/2020,-15,-7,127,-35,-8,2
8/17/2020,-18,-4,107,-50,-45,12
8/18/2020,-15,1,136,-48,-43,11
8/19/2020,-14,-1,140,-48,-43,12
8/20/2020,-13,3,149,-46,-43,11
8/21/2020,-18,-3,148,-45,-42,10
8/22/2020,-18,-4,210,-29,-4,1
8/23/2020,-13,-7,180,-32,-5,0
8/24/2020,-16,-3,134,-49,-44,11
8/25/2020,-15,2,141,-47,-43,11
8/26/2020,-16,-2,94,-48,-43,12
8/27/2020,-14,2,114,-46,-42,12
8/28/2020,-18,-3,122,-45,-41,11
8/29/2020,-17,-1,132,-30,-6,2
8/30/2020,-10,-4,193,-28,-4,0
8/31/2020,-12,1,142,-46,-43,10
9/1/2020,-13,3,122,-45,-43,10
9/2/2020,-14,-1,87,-48,-43,12
9/3/2020,-12,3,138,-44,-42,10
9/4/2020,-13,2,142,-42,-43,9
9/5/2020,-16,0,176,-29,-9,1
9/6/2020,-3,2,235,-28,-8,-1
9/7/2020,-43,-42,119,-63,-80,20
9/8/2020,-13,11,53,-47,-44,11
9/9/2020,-16,0,63,-48,-42,12
9/10/2020,-14,2,85,-46,-41,11
9/11/2020,-17,-3,111,-44,-39,10
9/12/2020,-14,0,165,-28,-2,2
9/13/2020,-13,-4,103,-34,-6,3
9/14/2020,-15,-2,91,-48,-39,11
9/15/2020,-15,0,82,-47,-38,11
9/16/2020,-16,-4,93,-47,-39,11
9/17/2020,-16,-1,91,-46,-39,11
9/18/2020,-18,-5,83,-45,-37,10
9/19/2020,-15,-1,133,-32,-3,3
9/20/2020,-11,-3,139,-35,-3,2
9/21/2020,-18,-4,82,-49,-40,11
9/22/2020,-19,-1,78,-48,-39,11
9/23/2020,-19,-2,82,-48,-38,12
9/24/2020,-20,-1,68,-48,-38,12
9/25/2020,-21,-4,95,-47,-36,11
9/26/2020,-16,0,159,-34,0,2
9/27/2020,-13,-3,143,-36,-2,2
9/28/2020,-21,-3,65,-51,-38,12
9/29/2020,-20,0,45,-50,-37,12
9/30/2020,-20,-1,12,-51,-38,13
10/1/2020,-18,3,46,-49,-36,12
10/2/2020,-23,-4,36,-49,-35,12
10/3/2020,-18,-1,100,-35,-3,4
10/4/2020,-20,-5,15,-44,-8,5
10/5/2020,-21,-1,55,-50,-38,12
10/6/2020,-21,1,50,-50,-37,12
10/7/2020,-22,-1,22,-52,-38,13
10/8/2020,-20,5,46,-49,-36,12
10/9/2020,-20,6,74,-46,-36,11
10/10/2020,-23,4,117,-37,-5,4
10/11/2020,-21,1,112,-42,-8,3
10/12/2020,-58,-51,106,-70,-80,22
10/13/2020,-23,4,56,-50,-38,12
10/14/2020,-23,-2,50,-50,-37,13
10/15/2020,-26,-5,-8,-53,-37,15
10/16/2020,-23,-3,43,-49,-35,13
10/17/2020,-19,0,109,-36,-3,5
10/18/2020,-21,-6,44,-44,-8,6
10/19/2020,-27,-8,-1,-55,-38,14
10/20/2020,-23,0,32,-51,-37,13
10/21/2020,-25,-5,15,-53,-37,14
10/22/2020,-24,-2,17,-50,-36,14
10/23/2020,-24,-6,75,-48,-34,12
10/24/2020,-21,0,58,-38,-4,6
10/25/2020,-20,-5,46,-43,-8,6
10/26/2020,-26,-6,7,-53,-38,14
10/27/2020,-26,-5,-6,-53,-36,13
10/28/2020,-22,0,27,-50,-36,13
10/29/2020,-22,0,3,-51,-35,14
10/30/2020,-23,-1,1,-49,-34,13
10/31/2020,-20,4,47,-36,-3,5
11/1/2020,-25,-8,-20,-47,-11,7
11/2/2020,-27,-8,-12,-55,-38,14
11/3/2020,-26,-4,-1,-53,-36,13
11/4/2020,-25,-6,35,-52,-36,13
11/5/2020,-24,-4,34,-51,-35,14
11/6/2020,-24,-6,49,-50,-34,13
11/7/2020,-18,-2,113,-35,-2,5
11/8/2020,-14,-4,130,-40,-5,4
11/9/2020,-23,-6,57,-53,-36,13
11/10/2020,-21,-1,60,-51,-35,12
11/11/2020,-21,-3,24,-53,-39,14
11/12/2020,-22,-2,19,-52,-35,14
11/13/2020,-24,-5,1,-51,-35,14
11/14/2020,-20,0,43,-40,-5,6
11/15/2020,-28,-15,-33,-52,-13,8
11/16/2020,-26,-8,-13,-56,-38,14
11/17/2020,-27,-7,-17,-55,-36,14
11/18/2020,-26,-8,-15,-55,-37,15
11/19/2020,-23,-3,8,-53,-35,14
11/20/2020,-22,-3,30,-50,-35,14
11/21/2020,-19,2,16,-40,-4,7
11/22/2020,-29,-16,-29,-51,-12,8
11/23/2020,-30,-11,-19,-58,-39,15
11/24/2020,-29,-6,-18,-57,-37,15
11/25/2020,-30,-11,-25,-58,-37,16
11/26/2020,-23,-1,-7,-55,-37,15
11/27/2020,-25,-5,-5,-53,-36,15
11/28/2020,-22,-1,30,-43,-5,7
11/29/2020,-21,-5,44,-48,-10,7
11/30/2020,-28,-10,-35,-59,-38,15
12/1/2020,-34,-12,-26,-58,-40,17
12/2/2020,-27,-4,-14,-56,-37,15
12/3/2020,-25,-1,-8,-55,-36,15
12/4/2020,-30,-9,-21,-56,-35,16
12/5/2020,-25,-1,4,-45,-6,8
12/6/2020,-25,-7,9,-51,-12,8
12/7/2020,-28,-7,-14,-58,-38,15
12/8/2020,-28,-4,-12,-57,-36,14
12/9/2020,-30,-9,-21,-57,-37,16
12/10/2020,-25,0,-3,-55,-36,15
12/11/2020,-25,-2,6,-54,-35,15
12/12/2020,-29,-4,-24,-49,-8,9
12/13/2020,-24,-5,3,-50,-11,8
12/14/2020,-29,-5,-16,-59,-39,15
12/15/2020,-27,-1,-18,-57,-38,15
12/16/2020,-29,-6,-32,-59,-38,16
12/17/2020,-25,3,-16,-56,-37,16
12/18/2020,-27,-1,-9,-55,-36,16
12/19/2020,-28,0,-2,-45,-8,8
12/20/2020,-25,-4,0,-49,-11,8
12/21/2020,-17,16,1,-57,-46,15
12/22/2020,-14,27,-2,-56,-46,15
12/23/2020,-10,39,4,-55,-48,15
12/24/2020,-26,29,-20,-62,-64,21
12/25/2020,-86,-79,-17,-83,-86,29
12/26/2020,-65,-48,-8,-67,-44,15
12/27/2020,-49,-28,17,-61,-27,11
12/28/2020,-45,-15,-8,-73,-72,26
12/29/2020,-39,-3,11,-66,-60,22
12/30/2020,-39,1,-27,-67,-61,24
12/31/2020,-31,19,18,-67,-65,23
1/1/2021,-79,-74,-1,-83,-85,33
1/2/2021,-51,-20,17,-60,-30,14
1/3/2021,-50,-24,2,-62,-24,12
1/4/2021,-45,-14,-14,-65,-47,19
1/5/2021,-44,-11,-17,-64,-47,19
1/6/2021,-46,-16,-18,-65,-47,20
1/7/2021,-45,-12,-7,-64,-46,20
1/8/2021,-47,-18,-15,-65,-45,21
1/9/2021,-45,-12,32,-58,-18,12
1/10/2021,-46,-18,15,-61,-22,11
1/11/2021,-48,-18,-20,-66,-46,19
1/12/2021,-47,-14,-24,-66,-46,19
1/13/2021,-45,-11,-21,-66,-47,19
1/14/2021,-54,-24,-22,-68,-49,21
1/15/2021,-54,-26,-31,-69,-49,22
1/16/2021,-54,-22,13,-64,-25,14
1/17/2021,-53,-27,0,-66,-27,12
1/18/2021,-53,-25,-21,-69,-50,20
1/19/2021,-52,-22,-27,-68,-50,20
1/20/2021,-51,-24,-33,-69,-49,21
1/21/2021,-50,-19,-20,-67,-49,21
1/22/2021,-51,-22,-30,-68,-48,22
1/23/2021,-50,-17,-4,-63,-23,13
1/24/2021,-51,-24,-1,-66,-26,12
1/25/2021,-50,-21,-10,-68,-48,19
1/26/2021,-58,-33,-35,-70,-50,21
1/27/2021,-49,-19,-19,-67,-48,20
1/28/2021,-50,-20,-32,-68,-48,21
1/29/2021,-49,-21,-32,-68,-47,21
1/30/2021,-47,-13,17,-62,-21,12
1/31/2021,-49,-21,-4,-67,-25,11
2/1/2021,-49,-21,-23,-69,-48,19
2/2/2021,-48,-18,-21,-68,-47,19
2/3/2021,-48,-19,-10,-68,-47,20
2/4/2021,-46,-14,5,-66,-46,20
2/5/2021,-52,-25,-37,-69,-47,22
2/6/2021,-49,-15,-12,-64,-20,13
2/7/2021,-48,-20,-3,-66,-23,11
2/8/2021,-50,-23,-26,-69,-46,19
2/9/2021,-48,-17,-19,-67,-45,19
2/10/2021,-46,-16,-24,-67,-45,19
2/11/2021,-44,-10,-17,-66,-44,19
2/12/2021,-46,-14,-29,-67,-45,20
2/13/2021,-45,-6,-19,-63,-22,12
2/14/2021,-35,0,47,-61,-21,9
2/15/2021,-67,-52,19,-80,-80,28
2/16/2021,-48,-19,-40,-66,-50,21
2/17/2021,-36,-5,-22,-63,-41,17
2/18/2021,-39,-11,-25,-63,-41,18
2/19/2021,-40,-15,-22,-63,-39,18
2/20/2021,-34,-5,27,-55,-13,10
2/21/2021,-34,-11,37,-58,-16,8
2/22/2021,-43,-21,-31,-65,-43,18
2/23/2021,-37,-9,-21,-63,-41,16
2/24/2021,-36,-12,-17,-63,-41,17
2/25/2021,-34,-8,-6,-62,-40,17
2/26/2021,-33,-7,-2,-60,-38,16
2/27/2021,-32,-6,17,-54,-13,9
2/28/2021,-32,-12,-5,-58,-15,8
3/1/2021,-38,-17,-30,-64,-41,17
3/2/2021,-36,-10,-20,-63,-40,16
3/3/2021,-34,-9,3,-61,-40,16
3/4/2021,-34,-9,-18,-62,-40,17
3/5/2021,-35,-11,-16,-62,-39,17
3/6/2021,-31,-6,6,-54,-12,9
3/7/2021,-30,-10,37,-56,-14,8
3/8/2021,-33,-12,-1,-62,-40,16
3/9/2021,-29,-6,28,-59,-39,15
3/10/2021,-28,-7,26,-59,-39,15
3/11/2021,-29,-6,11,-59,-39,16
3/12/2021,-29,-8,3,-58,-38,16
3/13/2021,-23,-1,46,-48,-10,7
3/14/2021,-26,-10,15,-55,-14,8
3/15/2021,-31,-11,-4,-61,-40,16
3/16/2021,-31,-7,-10,-60,-40,15
3/17/2021,-28,-6,24,-59,-39,15
3/18/2021,-29,-6,-8,-59,-39,16
3/19/2021,-27,-5,14,-57,-37,15
3/20/2021,-21,0,111,-45,-9,6
3/21/2021,-17,-4,127,-48,-11,6
3/22/2021,-25,-7,61,-58,-39,14
3/23/2021,-26,-4,44,-58,-39,14
3/24/2021,-27,-6,21,-59,-39,15
3/25/2021,-24,-1,62,-56,-38,15
3/26/2021,-31,-10,-19,-61,-38,17
3/27/2021,-22,0,46,-47,-9,7
3/28/2021,-28,-11,-24,-58,-14,9
3/29/2021,-26,-5,17,-60,-39,15
3/30/2021,-23,0,62,-57,-38,13
3/31/2021,-21,4,0,-58,-39,15
4/1/2021,-8,31,-5,-54,-39,13
4/2/2021,-55,-44,54,-73,-77,26
4/3/2021,-27,15,37,-53,-19,9
4/4/2021,-53,-47,142,-58,-27,7
4/5/2021,-28,-3,56,-63,-52,17
4/6/2021,-31,-1,40,-59,-41,15
4/7/2021,-21,5,60,-58,-42,15
4/8/2021,-39,-7,75,-60,-42,17
4/9/2021,-41,-10,43,-62,-41,18
4/10/2021,-39,-7,129,-54,-16,9
4/11/2021,-43,-16,23,-62,-21,10
4/12/2021,-41,-11,-3,-65,-48,18
4/13/2021,-38,-4,60,-62,-47,17
4/14/2021,-37,-5,62,-62,-47,17
4/15/2021,-39,-6,1,-63,-47,19
4/16/2021,-41,-9,1,-64,-46,19
4/17/2021,-46,-12,35,-60,-20,12
4/18/2021,-43,-15,60,-61,-21,10
4/19/2021,-45,-18,21,-67,-48,18
4/20/2021,-41,-6,-11,-65,-47,19
4/21/2021,-45,-13,-21,-66,-49,20
4/22/2021,-42,-7,-7,-64,-47,20
4/23/2021,-39,-7,63,-62,-45,19
4/24/2021,-38,-4,107,-56,-17,10
4/25/2021,-40,-11,40,-62,-21,10
4/26/2021,-39,-9,33,-64,-47,18
4/27/2021,-39,-5,43,-63,-46,17
4/28/2021,-39,-6,19,-63,-47,19
4/29/2021,-39,-5,-13,-64,-47,20
4/30/2021,-38,-5,-4,-63,-45,19
5/1/2021,-35,1,89,-53,-17,9
5/2/2021,-36,-7,79,-59,-20,9
5/3/2021,-39,-8,-4,-64,-47,18
5/4/2021,-39,-3,8,-63,-47,18
5/5/2021,-37,-2,22,-62,-47,18
5/6/2021,-34,2,71,-60,-46,17
5/7/2021,-36,-1,38,-62,-45,18
5/8/2021,-32,13,87,-53,-16,9
5/9/2021,-25,6,93,-56,-15,7
5/10/2021,-37,-6,43,-63,-47,17
5/11/2021,-37,-1,20,-63,-46,17
5/12/2021,-32,4,87,-60,-46,16
5/13/2021,-30,5,116,-58,-46,16
5/14/2021,-31,2,107,-58,-44,16
5/15/2021,-30,5,159,-49,-18,7
5/16/2021,-25,2,170,-51,-16,6
5/17/2021,-30,2,102,-60,-45,15
5/18/2021,-30,6,105,-59,-44,15
5/19/2021,-29,5,92,-60,-45,16
5/20/2021,-27,12,95,-59,-44,16
5/21/2021,-29,10,109,-58,-44,15
5/22/2021,-31,6,138,-51,-18,7
5/23/2021,-21,9,204,-52,-18,4
5/24/2021,-44,-34,254,-71,-80,21
5/25/2021,-29,15,78,-60,-44,15
5/26/2021,-31,6,52,-61,-44,16
5/27/2021,-28,10,87,-59,-43,15
5/28/2021,-35,-3,5,-63,-41,18
5/29/2021,-28,11,147,-50,-10,6
5/30/2021,-23,4,192,-52,-12,5
5/31/2021,-26,7,112,-59,-43,14
6/1/2021,-27,12,113,-59,-43,14
6/2/2021,-28,8,94,-59,-43,15
6/3/2021,-28,12,82,-59,-42,16
6/4/2021,-28,10,129,-57,-40,14
6/5/2021,-28,9,200,-47,-11,5
6/6/2021,-24,3,205,-50,-13,3
6/7/2021,-29,5,100,-60,-43,14
6/8/2021,-30,12,60,-61,-42,15
6/9/2021,-28,8,102,-59,-42,15
6/10/2021,-26,14,133,-57,-41,14
6/11/2021,-16,11,113,-55,-40,12
6/12/2021,-15,10,205,-42,-10,2
6/13/2021,-11,3,171,-47,-11,2
6/14/2021,-18,4,56,-59,-43,14
6/15/2021,-15,17,109,-56,-41,12
6/16/2021,-15,9,105,-56,-42,12
6/17/2021,-15,13,131,-55,-41,12
6/18/2021,-20,12,72,-57,-41,13
6/19/2021,-16,13,186,-42,-10,2
6/20/2021,-9,5,197,-45,-11,0
6/21/2021,-20,3,77,-59,-44,14
6/22/2021,-17,15,101,-57,-42,12
6/23/2021,-16,7,116,-56,-42,12
6/24/2021,-14,12,133,-54,-42,12
6/25/2021,-22,3,58,-56,-41,13
6/26/2021,-19,8,109,-47,-11,5
6/27/2021,-11,3,177,-42,-10,2
6/28/2021,-13,8,124,-57,-44,10
6/29/2021,-19,6,59,-59,-44,11
6/30/2021,3,38,120,-50,-44,9
7/1/2021,-34,-27,265,-60,-73,17
7/2/2021,-14,20,125,-56,-57,14
7/3/2021,-16,7,231,-39,-16,1
7/4/2021,-7,2,216,-37,-11,-1
7/5/2021,-10,11,130,-54,-45,11
7/6/2021,-12,14,126,-54,-43,11
7/7/2021,-14,10,76,-55,-44,13
7/8/2021,-17,9,47,-56,-43,14
7/9/2021,-16,9,109,-51,-41,11
7/10/2021,-12,8,230,-34,-8,0
7/11/2021,-12,0,115,-42,-10,2
7/12/2021,-11,9,139,-53,-43,11
7/13/2021,-14,10,89,-54,-42,12
7/14/2021,-10,11,137,-53,-42,11
7/15/2021,-12,12,113,-52,-41,12
7/16/2021,-12,8,129,-49,-40,9
7/17/2021,-12,8,131,-37,-8,2
7/18/2021,-2,4,216,-34,-7,-1
7/19/2021,-8,10,146,-52,-43,10
7/20/2021,-9,12,105,-53,-43,10
7/21/2021,-5,13,156,-50,-42,10
7/22/2021,-6,15,156,-49,-41,10
7/23/2021,-11,8,164,-47,-40,8
7/24/2021,-13,5,129,-36,-7,1
7/25/2021,-2,4,214,-34,-6,-1
7/26/2021,-8,9,159,-51,-43,10
7/27/2021,-10,11,106,-53,-42,11
7/28/2021,-5,13,154,-50,-42,9
7/29/2021,-7,14,108,-51,-42,11
7/30/2021,-7,12,158,-44,-41,8
7/31/2021,-10,7,181,-31,-10,-1
8/1/2021,0,7,144,-37,-12,0
8/2/2021,-12,-9,284,-56,-76,13
8/3/2021,-6,18,151,-49,-43,9
8/4/2021,-6,14,153,-49,-42,9
8/5/2021,-7,14,164,-47,-41,9
8/6/2021,-12,6,151,-46,-40,8
8/7/2021,-11,6,165,-31,-6,0
8/8/2021,-3,3,179,-32,-6,-1
8/9/2021,-8,8,138,-50,-42,10
8/10/2021,-9,11,96,-51,-41,10
8/11/2021,-8,9,106,-51,-41,11
8/12/2021,-6,13,131,-48,-40,10
8/13/2021,-11,6,130,-46,-39,9
8/14/2021,-7,8,225,-27,-5,-2
8/15/2021,1,4,219,-29,-5,-2
8/16/2021,-7,8,142,-49,-43,9
8/17/2021,-8,12,121,-50,-41,10
8/18/2021,-7,10,117,-49,-40,10
8/19/2021,-5,14,147,-47,-39,9
8/20/2021,-9,8,145,-45,-39,8
8/21/2021,-8,7,193,-28,-6,-1
8/22/2021,-1,3,173,-30,-5,-2
8/23/2021,-6,9,133,-48,-42,9
8/24/2021,-6,12,131,-49,-41,9
8/25/2021,-6,11,110,-48,-41,10
8/26/2021,-6,12,117,-46,-40,10
8/27/2021,-8,8,135,-44,-39,8
8/28/2021,-8,6,164,-28,-4,0
8/29/2021,-2,3,131,-31,-5,0
8/30/2021,-3,11,130,-47,-42,9
8/31/2021,-1,18,129,-45,-40,8
9/1/2021,-1,16,121,-45,-41,9
9/2/2021,0,18,128,-43,-40,9
9/3/2021,-4,10,135,-42,-40,8
9/4/2021,-4,9,206,-24,-9,-1
9/5/2021,10,13,202,-28,-10,-2
9/6/2021,-26,-30,197,-58,-81,18
9/7/2021,-4,20,73,-47,-41,9
9/8/2021,-4,17,80,-46,-40,10
9/9/2021,-6,14,88,-44,-39,10
9/10/2021,-7,6,114,-42,-36,7
9/11/2021,-3,8,174,-29,-2,1
9/12/2021,1,6,114,-34,-4,1
9/13/2021,-5,8,101,-45,-40,9
9/14/2021,-8,9,75,-46,-39,9
9/15/2021,-6,10,82,-45,-39,9
9/16/2021,-5,12,107,-43,-39,9
9/17/2021,-6,3,110,-41,-37,7
9/18/2021,-1,6,177,-27,-3,0
9/19/2021,6,6,164,-31,-5,-1
9/20/2021,3,10,126,-44,-39,8
9/21/2021,-9,7,49,-48,-37,10
9/22/2021,-14,-2,-9,-52,-35,12
9/23/2021,-9,9,42,-46,-33,11
9/24/2021,-9,4,77,-43,-32,9
9/25/2021,-5,5,102,-32,-2,2
9/26/2021,2,5,127,-32,-3,1
9/27/2021,-8,5,77,-47,-34,10
9/28/2021,-7,10,74,-46,-32,9
9/29/2021,-3,10,75,-44,-33,9
9/30/2021,-1,13,86,-42,-35,9
10/1/2021,-6,5,96,-41,-30,8
10/2/2021,-2,6,147,-27,-2,1
10/3/2021,-3,4,36,-37,-6,3
10/4/2021,-10,5,29,-48,-33,11
10/5/2021,-6,13,58,-45,-32,9
10/6/2021,-5,10,66,-44,-32,9
10/7/2021,-4,15,78,-41,-30,9
10/8/2021,-4,14,79,-39,-31,8
10/9/2021,-6,15,75,-30,-8,2
10/10/2021,-2,8,120,-33,-13,-1
10/11/2021,-37,-42,196,-58,-81,17
10/12/2021,-6,16,70,-43,-32,9
10/13/2021,-7,8,57,-44,-31,9
10/14/2021,-6,8,76,-42,-30,9
10/15/2021,-9,0,39,-43,-29,9
10/16/2021,-3,7,51,-31,-3,3
10/17/2021,3,3,80,-33,-5,2
10/18/2021,-8,4,47,-46,-32,10
10/19/2021,-7,8,74,-45,-31,9
