GEO_CODE_(POR),GEO_NAME,GEO_CODE_(POW),GEO_NAME,Dim:_Sex_(3):_Member_ID:_[1]:_Total_-_Sex,Dim:_Sex_(3):_Member_ID:_[2]:_Male,Dim:_Sex_(3):_Member_ID:_[3]:_Female
3506008,Ottawa,3520005,Toronto,1060,540,520
3506008,Ottawa,3519038,Richmond_Hill,25,10,20
3506008,Ottawa,3519036,Markham,55,50,0
3506008,Ottawa,3519028,Vaughan,40,30,15
3506008,Ottawa,3518013,Oshawa,25,20,0
3506008,Ottawa,3515014,Peterborough,60,20,40
3506008,Ottawa,3512015,Quinte_West,20,0,10
3506008,Ottawa,3512005,Belleville,45,20,20
3506008,Ottawa,3510010,Kingston,475,310,165
3506008,Ottawa,3509030,Mississippi_Mills,405,185,220
3506008,Ottawa,3509028,Carleton_Place,530,230,300
3506008,Ottawa,3509024,Beckwith,130,85,45
3506008,Ottawa,3509021,Perth,115,45,70
3506008,Ottawa,3509010,Drummond_North_Elmsley,40,20,20
3506008,Ottawa,3509004,Smiths_Falls,255,140,110
3506008,Ottawa,3507065,North_Grenville,635,325,310
3506008,Ottawa,3507052,Merrickville-Wolford,35,20,15
3506008,Ottawa,3507015,Brockville,105,60,45
3506008,Ottawa,3507014,Elizabethtown-Kitley,20,10,10
3506008,Ottawa,3507008,Prescott,50,45,10
3506008,Ottawa,3507004,Edwardsburgh_Cardinal,65,60,15
3506008,Ottawa,3506008,Ottawa,370515,179440,191075
3506008,Ottawa,3502048,Russell,515,285,230
3506008,Ottawa,3502044,Casselman,105,80,30
3506008,Ottawa,3502036,Clarence-Rockland,620,300,320
3506008,Ottawa,3502025,The_Nation_La_Nation,130,55,75
3506008,Ottawa,3502023,Alfred_and_Plantagenet,90,55,40
3506008,Ottawa,3502010,Champlain,55,30,25
3506008,Ottawa,3502008,Hawkesbury,85,55,35
3506008,Ottawa,3501050,North_Glengarry,50,35,20
3506008,Ottawa,3501042,North_Stormont,20,10,0
3506008,Ottawa,3501030,North_Dundas,350,155,195
3506008,Ottawa,3501020,South_Dundas,45,25,20
3506008,Ottawa,3501012,Cornwall,160,100,65
3506008,Ottawa,3501011,South_Stormont,25,0,10
3507004,Edwardsburgh_Cardinal,3510010,Kingston,25,20,10
3507004,Edwardsburgh_Cardinal,3507065,North_Grenville,230,65,170
3507004,Edwardsburgh_Cardinal,3507015,Brockville,400,190,210
3507004,Edwardsburgh_Cardinal,3507014,Elizabethtown-Kitley,95,30,65
3507004,Edwardsburgh_Cardinal,3507008,Prescott,375,130,245
3507004,Edwardsburgh_Cardinal,3507006,Augusta,65,25,35
3507004,Edwardsburgh_Cardinal,3507004,Edwardsburgh_Cardinal,455,290,170
3507004,Edwardsburgh_Cardinal,3506008,Ottawa,655,350,305
3507004,Edwardsburgh_Cardinal,3501030,North_Dundas,55,35,20
