"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-03-30,70645,68004,2641,,2102380,1788491,,627778,313889,
2021-03-31,89873,87942,1931,,2192253,1876433,,631639,315820,
2021-04-01,84060,82165,1895,,2276313,1958598,,635430,317715,
2021-04-02,88183,85548,2635,,2364496,2044146,,640700,320350,
2021-04-03,59567,58448,1119,,2424063,2102594,,642937,321469,
2021-04-04,69125,68546,579,,2493188,2171140,,644095,322048,
2021-04-05,52452,52303,149,,2545640,2223443,,644393,322197,
2021-04-06,76199,75248,951,,2621839,2298691,,646295,323148,
2021-04-07,104382,102747,1635,,2726221,2401438,,649566,324783,
2021-04-08,108563,106986,1577,,2834784,2508424,,652719,326360,
2021-04-09,105382,103144,2238,,2940166,2611568,,657719,328598,
2021-04-10,104783,102399,2384,,3044949,2713967,,661963,330982,
2021-04-11,94794,92626,2168,,3139743,2806593,,666299,333150,
2021-04-12,74722,74453,269,,3214465,2881046,,666838,333419,
2021-04-13,95692,93849,1843,,3310157,2974895,,670524,335262,
2021-04-14,112817,110873,1944,,3422974,3085768,,674411,337206,
2021-04-15,105430,103145,2285,,3528404,3188913,,678981,339491,
2021-04-16,115634,113192,2442,,3644038,3302105,,683866,341933,
2021-04-17,107278,104967,2311,,3751316,3407072,,688488,344244,
2021-04-18,86565,85499,1066,,3837881,3492571,,690620,345310,
2021-04-19,66897,66202,695,,3904778,3558773,,692010,346005,
2021-04-20,90409,88817,1592,,3995187,3647590,,695194,347597,
2021-04-21,136695,134896,1799,,4131882,3782486,,698791,349396,
2021-04-22,134920,132962,1958,,4266802,3915448,,702707,351354,
2021-04-23,133872,130018,3854,,4400674,4045466,,710416,355208,
2021-04-24,126694,123126,3568,,4527368,4168592,,717552,358776,
2021-04-25,99535,97957,1578,,4626903,4266549,,720708,360354,
2021-04-26,69308,68496,812,,4696211,4335045,,722332,361166,
2021-04-27,94819,93422,1397,,4791030,4428467,,725126,362563,
2021-04-28,116173,113570,2603,,4907203,4542037,,730332,365166,
2021-04-29,120567,117330,3237,,5027770,4659367,,736806,368403,
2021-04-30,112214,109507,2707,,5139984,4768874,,742220,371110,
2021-05-01,107700,105251,2449,,5247684,4874125,,747118,373559,
2021-05-02,76685,74964,1721,,5324369,4949089,,750560,375280,
2021-05-03,53880,53255,625,,5378249,5002344,,751810,375905,
2021-05-04,88871,86691,2180,,5467120,5089035,,756170,378085,
2021-05-05,132603,129565,3038,,5599723,5218600,,762246,381123,
2021-05-06,141038,137572,3466,,5740761,5356172,,769178,384589,
2021-05-07,144724,141829,2895,,5885485,5498001,,774968,387484,
2021-05-08,138125,134619,3506,,6023610,5632620,,781980,390990,
2021-05-09,121075,119230,1845,,6144685,5751850,,785670,392835,
2021-05-10,94093,93044,1049,,6238778,5844894,,787768,393884,
2021-05-11,112103,109200,2903,,6350881,5954094,,793574,396787,
2021-05-12,140785,135314,5471,,6491666,6089408,,804516,402258,
2021-05-13,137697,132355,5342,,6629363,6221763,,815200,407600,
2021-05-14,141765,133834,7931,,6771128,6355597,,831062,415531,
2021-05-15,154104,146675,7429,,6925232,6502272,,845920,422960,
2021-05-16,139583,132907,6676,,7064815,6635179,,859272,429636,
2021-05-17,112330,109206,3124,,7177145,6744385,,865520,432760,
2021-05-18,109032,99690,9342,,7286177,6844075,,884204,442102,
2021-05-19,145461,130779,14682,,7431638,6974854,,913568,456784,
2021-05-20,144986,128011,16975,,7576624,7102865,,947518,473759,
2021-05-21,158524,136526,21998,,7735148,7239391,,991514,495757,
2021-05-22,190129,165905,24224,,7925277,7405296,,1039962,519981,
2021-05-23,140330,128708,11622,,8065607,7534004,,1063206,531603,
2021-05-24,99108,92741,6367,,8164715,7626745,,1075940,537970,
2021-05-25,86927,80609,6318,,8251642,7707354,,1088576,544288,
2021-05-26,135308,110279,25029,,8386950,7817633,,1138634,569317,
2021-05-27,143748,118211,25537,,8530698,7935844,,1189708,594854,
2021-05-28,159775,129709,30066,,8690473,8065553,,1249840,624920,
2021-05-29,148972,114753,34219,,8839445,8180306,,1318278,659139,
2021-05-30,144833,116078,28755,,8984278,8296384,,1375788,687894,
2021-05-31,97747,78809,18938,,9082025,8375193,,1413664,706832,
2021-06-01,120195,87305,32890,,9202220,8462498,,1479444,739722,
2021-06-02,139901,98460,41441,,9342121,8560958,,1562326,781163,
2021-06-03,150884,97066,53818,,9493005,8658024,,1669962,834981,
2021-06-04,168322,107238,61084,,9661327,8765262,,1792130,896065,
2021-06-05,172855,105663,67192,,9834182,8870925,,1926514,963257,
2021-06-06,158393,90130,68263,,9992575,8961055,,2063040,1031520,
2021-06-07,116829,61544,55285,,10109404,9022599,,2173610,1086805,
2021-06-08,158209,70684,87525,,10267613,9093283,,2348660,1174330,
2021-06-09,177506,69160,108346,,10445119,9162443,,2565352,1282676,
2021-06-10,182350,65250,117100,,10627469,9227693,,2799552,1399776,
2021-06-11,199951,65985,133966,,10827420,9293678,,3067484,1533742,
2021-06-12,195032,61013,134019,,11022452,9354691,,3335522,1667761,
2021-06-13,186415,57394,129021,,11208867,9412085,,3593564,1796782,
2021-06-14,135574,38036,97538,,11344441,9450121,,3788640,1894320,
2021-06-15,184989,41558,143431,,11529430,9491679,,4075502,2037751,
2021-06-16,202984,42020,160964,,11732414,9533699,,4397430,2198715,
2021-06-17,210611,38291,172320,,11943025,9571990,,4742070,2371035,
2021-06-18,210638,34432,176206,,12153663,9606422,,5094482,2547241,
2021-06-19,213236,35175,178061,,12366899,9641597,,5450604,2725302,
2021-06-20,184251,35273,148978,,12551150,9676870,,5748560,2874280,
2021-06-21,118625,20205,98420,,12669775,9697075,,5945400,2972700,
2021-06-22,199535,26863,172672,,12869310,9723938,,6290744,3145372,
2021-06-23,227318,28946,198372,,13096628,9752884,,6687488,3343744,
2021-06-24,225188,26493,198695,,13321816,9779377,,7084878,3542439,
2021-06-25,246393,27611,218782,,13568209,9806988,,7522442,3761221,
2021-06-26,256260,29376,226884,,13824469,9836364,,7976210,3988105,
2021-06-27,202672,27156,175516,,14027141,9863520,,8327242,4163621,
2021-06-28,180369,19220,161149,,14207510,9882740,,8649540,4324770,
2021-06-29,265231,26532,238699,,14472741,9909272,,9126938,4563469,
2021-06-30,268397,23696,244701,,14741138,9932968,,9616340,4808170,
2021-07-01,267687,24647,243040,,15008825,9957615,,10102420,5051210,
2021-07-02,145674,10945,134729,,15154499,9968560,,10371878,5185939,
2021-07-03,210504,18937,191567,,15365003,9987497,,10755012,5377506,
2021-07-04,196068,18937,177131,,15561071,10006434,,11109274,5554637,
2021-07-05,144795,11955,132840,,15705866,10018389,,11374954,5687477,
2021-07-06,215719,19555,196164,,15921585,10037944,,11767282,5883641,
2021-07-07,204594,18588,186006,,16126179,10056532,,12139294,6069647,
2021-07-08,268884,25625,243259,,16395063,10082157,,12625812,6312906,
2021-07-09,224864,21810,203054,,16619927,10103967,,13031920,6515960,
2021-07-10,207507,20843,186664,,16827434,10124810,,13405248,6702624,
2021-07-11,170537,17215,153322,,16997971,10142025,,13711892,6855946,
2021-07-12,121653,11326,110327,,17119624,10153351,,13932546,6966273,
2021-07-13,176834,19100,157734,,17296458,10172451,,14248014,7124007,
2021-07-14,179197,19676,159521,,17475655,10192127,,14567056,7283528,
2021-07-15,166201,19803,146398,,17641856,10211930,,14859852,7429926,
2021-07-16,168616,20426,148190,,17810472,10232356,,15156232,7578116,
2021-07-17,169103,20390,148713,,17979575,10252746,,15453658,7726829,
2021-07-18,134654,15792,118862,,18114229,10268538,,15691382,7845691,
2021-07-19,91320,10306,81014,,18205549,10278844,,15853410,7926705,
2021-07-20,132963,17426,115537,,18338512,10296270,,16084484,8042242,
2021-07-21,140491,17486,123005,,18479003,10313756,,16330494,8165247,
2021-07-22,125166,17928,107238,,18604169,10331684,,16544970,8272485,
2021-07-23,120231,17583,102648,,18724400,10349267,,16750266,8375133,
2021-07-24,124261,18633,105628,,18848661,10367900,,16961522,8480761,
2021-07-25,103812,14821,88991,,18952473,10382721,,17139504,8569752,
2021-07-26,65920,9740,56180,,19018393,10392461,,17251864,8625932,
2021-07-27,92035,15856,76179,,19110428,10408317,,17404222,8702111,
2021-07-28,94116,16768,77348,,19204544,10425085,,17558918,8779459,
2021-07-29,89157,16859,72298,,19293701,10441944,,17703514,8851757,
2021-07-30,83907,16302,67605,,19377608,10458246,,17838724,8919362,
2021-07-31,81590,15314,66276,,19459198,10473560,,17971276,8985638,
2021-08-01,60583,10886,49697,,19519781,10484446,,18070670,9035335,
2021-08-02,41121,6884,34237,,19560902,10491330,,18139144,9069572,
2021-08-03,31015,5193,25822,,19591917,10496523,,18190788,9095394,
2021-08-04,60094,12086,48008,,19652011,10508609,,18286804,9143402,
2021-08-05,58213,12080,46133,,19710224,10520689,,18379070,9189535,
2021-08-06,53975,11745,42230,,19764199,10532434,,18463530,9231765,
2021-08-07,61041,12108,48933,,19825240,10544542,,18561396,9280698,
2021-08-08,46970,8715,38255,,19872210,10553257,,18637906,9318953,
2021-08-09,29949,5642,24307,,19902159,10558899,,18686520,9343260,
2021-08-10,48278,10416,37862,,19950437,10569315,,18762244,9381122,
2021-08-11,48307,10797,37510,,19998744,10580112,,18837264,9418632,
2021-08-12,49167,11136,38031,,20047911,10591248,,18913326,9456663,
2021-08-13,48682,11619,37063,,20096593,10602867,,18987452,9493726,
2021-08-14,50343,11964,38379,,20146936,10614831,,19064210,9532105,
2021-08-15,40907,9592,31315,,20187843,10624423,,19126840,9563420,
2021-08-16,26033,5947,20086,,20213876,10630370,,19167012,9583506,
2021-08-17,40626,11267,29359,,20254502,10641637,,19225730,9612865,
2021-08-18,41016,11895,29121,,20295518,10653532,,19283972,9641986,
2021-08-19,45545,16610,28935,,20341063,10670142,,19341842,9670921,
2021-08-20,45748,16384,29364,,20386811,10686526,,19400570,9700285,
2021-08-21,46629,14988,31641,,20433440,10701514,,19463852,9731926,
2021-08-22,33535,10724,22811,,20466975,10712238,,19509474,9754737,
2021-08-23,22589,6937,15652,,20489564,10719175,,19540778,9770389,
2021-08-24,36655,13230,23425,,20526219,10732405,,19587628,9793814,
2021-08-25,40254,14391,25863,,20566473,10746796,,19639354,9819677,
2021-08-26,38932,13950,24982,,20605405,10760746,,19689318,9844659,
2021-08-27,36195,12934,23261,,20641600,10773680,,19735840,9867920,
2021-08-28,37716,13171,24545,,20679316,10786851,,19784930,9892465,
2021-08-29,29695,10246,19449,,20709011,10797097,,19823828,9911914,
2021-08-30,17767,6075,11692,,20726778,10803172,,19847212,9923606,
2021-08-31,31176,11948,19228,,20757954,10815120,,19885668,9942834,
2021-09-01,34703,13201,21502,,20792657,10828321,,19928672,9964336,
2021-09-02,35152,15692,19460,,20827809,10844013,,19967592,9983796,
2021-09-03,43855,21284,22571,,20871664,10865297,,20012734,10006367,
2021-09-04,45886,21250,24636,,20917550,10886547,,20062006,10031003,
2021-09-05,32450,14361,18089,,20950000,10900908,,20098184,10049092,
2021-09-06,21325,9643,11682,,20971325,10910551,,20121548,10060774,
2021-09-07,14391,6658,7733,,20985716,10917209,,20137014,10068507,
2021-09-08,38174,17447,20727,,21023890,10934656,,20178468,10089234,
2021-09-09,38391,18043,20348,,21062281,10952699,,20219164,10109582,
2021-09-10,35844,16477,19367,,21098125,10969176,,20257898,10128949,
2021-09-11,40220,16532,23688,,21138345,10985708,,20305274,10152637,
2021-09-12,29182,11733,17449,,21167527,10997441,,20340172,10170086,
2021-09-13,15842,6616,9226,,21183369,11004057,,20358624,10179312,
2021-09-14,28657,12538,16119,,21212026,11016595,,20390862,10195431,
2021-09-15,35691,15171,20520,,21247717,11031766,,20431902,10215951,
2021-09-16,35463,15271,20192,,21283180,11047037,,20472286,10236143,
2021-09-17,35285,14865,20420,,21318465,11061902,,20513126,10256563,
2021-09-18,39210,15203,24007,,21357675,11077105,,20561140,10280570,
2021-09-19,29975,11100,18875,,21387650,11088205,,20598890,10299445,
2021-09-20,16712,6444,10268,,21404362,11094649,,20619426,10309713,
2021-09-21,30072,12593,17479,,21434434,11107242,,20654384,10327192,
2021-09-22,40596,16477,24119,,21475030,11123719,,20702622,10351311,
2021-09-23,44754,17685,27069,,21519784,11141404,,20756760,10378380,
2021-09-24,46550,18056,28494,,21566334,11159460,,20813748,10406874,
2021-09-25,47871,17194,30677,,21614205,11176654,,20875102,10437551,
2021-09-26,37645,13412,24233,,21651850,11190066,,20923568,10461784,
2021-09-27,20454,7401,13053,,21672304,11197467,,20949674,10474837,
2021-09-28,31855,12970,18885,,21704159,11210437,,20987444,10493722,
2021-09-29,38297,14916,23381,,21742456,11225353,,21034206,10517103,
2021-09-30,37553,14477,23076,,21780009,11239830,,21080358,10540179,
2021-10-01,29704,10920,18784,,21809713,11250750,,21117926,10558963,
2021-10-02,37333,12729,24604,,21847046,11263479,,21167134,10583567,
2021-10-03,23884,7994,15890,,21870930,11271473,,21198914,10599457,
2021-10-04,19255,6332,12923,,21890185,11277805,,21224760,10612380,
2021-10-05,26472,9720,16752,,21916657,11287525,,21258264,10629132,
2021-10-06,32296,12075,20221,,21948953,11299600,,21298706,10649353,
2021-10-07,25240,9514,15726,,21974193,11309114,,21330158,10665079,
2021-10-08,30575,11298,19277,,22004768,11320412,,21368712,10684356,
2021-10-09,37715,14363,23352,,22042483,11334775,,21415416,10707708,
2021-10-10,29247,10281,18966,,22071730,11345056,,21453348,10726674,
2021-10-11,12213,4324,7889,,22083943,11349380,,21469126,10734563,
2021-10-12,5512,2023,3489,,22089455,11351403,,21476104,10738052,
2021-10-13,29857,10974,18883,,22119312,11362377,,21513870,10756935,
2021-10-14,28756,10346,18410,,22148068,11372723,,21550690,10775345,
2021-10-15,29762,10338,19424,,22177830,11383061,,21589538,10794769,
2021-10-16,30369,10030,20339,,22208199,11393091,,21630216,10815108,
2021-10-17,23011,7712,15299,,22231210,11400803,,21660814,10830407,
2021-10-18,12399,4056,8343,,22243609,11404859,,21677500,10838750,
2021-10-19,21310,7551,13759,,22264919,11412410,,21705018,10852509,
2021-10-20,25284,9113,16171,,22290203,11421523,,21737360,10868680,
2021-10-21,22689,8148,14541,,22312892,11429671,,21766442,10883221,
2021-10-22,25770,8962,16808,,22338662,11438633,,21800058,10900029,
2021-10-23,27243,9041,18202,,22365905,11447674,,21836462,10918231,
2021-10-24,19285,6471,12814,,22385190,11454145,,21862090,10931045,
2021-10-25,9697,3037,6660,,22394887,11457182,,21875410,10937705,
2021-10-26,18428,6459,11969,,22413315,11463641,,21899348,10949674,
2021-10-27,21761,7388,14373,,22435076,11471029,,21928094,10964047,
2021-10-28,20408,6883,13525,,22455484,11477912,,21955144,10977572,
2021-10-29,21170,7012,14158,,22476654,11484924,,21983460,10991730,
2021-10-30,22323,7031,15292,,22498977,11491955,,22014044,11007022,
2021-10-31,15740,4995,10745,,22514717,11496950,,22035534,11017767,
2021-11-01,7427,2335,5092,,22522144,11499285,,22045718,11022859,
2021-11-02,13774,5111,8663,,22535918,11504396,,22063044,11031522,
2021-11-03,16933,6157,10776,,22552851,11510553,,22084596,11042298,
2021-11-04,16588,5850,10738,,22569439,11516403,,22106072,11053036,
2021-11-05,15901,5442,10459,,22585340,11521845,,22126990,11063495,
2021-11-06,8809,2941,5868,,22594149,11524786,,22138726,11069363,
2021-11-07,12754,4114,8640,,22606903,11528900,,22156006,11078003,
2021-11-08,17057,5428,11629,,22623960,11534328,,22179264,11089632,
2021-11-09,13049,4674,8375,,22637009,11539002,,22196014,11098007,
2021-11-10,15257,5506,9751,,22652266,11544508,,22215516,11107758,
2021-11-11,15962,5721,10241,,22668228,11550229,,22235998,11117999,
2021-11-12,13468,4804,8664,,22681696,11555033,,22253326,11126663,
2021-11-13,18138,6078,12060,,22699834,11561111,,22277446,11138723,
2021-11-14,13066,4377,8689,,22712900,11565488,,22294824,11147412,
2021-11-15,7251,2541,4710,,22720151,11568029,,22304244,11152122,
2021-11-16,13146,4765,8381,,22733297,11572794,,22321006,11160503,
2021-11-17,15040,5776,9264,,22748337,11578570,,22339534,11169767,
2021-11-18,13862,5153,8709,,22762199,11583723,,22356952,11178476,
2021-11-19,13897,5027,8870,,22776096,11588750,,22374692,11187346,
2021-11-20,15367,5559,9808,,22791463,11594309,,22394308,11197154,
2021-11-21,11404,4059,7345,,22802867,11598368,,22408998,11204499,
2021-11-22,6488,2320,4168,,22809355,11600688,,22417334,11208667,
2021-11-23,11096,4188,6908,,22820451,11604876,,22431150,11215575,
2021-11-24,12706,4948,7758,,22833157,11609824,,22446666,11223333,
2021-11-25,12566,5033,7533,,22845723,11614857,,22461732,11230866,
2021-11-26,19820,12228,7592,,22865543,11627085,,22476916,11238458,
2021-11-27,29674,22492,7182,,22895217,11649577,,22491280,11245640,
2021-11-28,33249,27900,5349,,22928466,11677477,,22501978,11250989,
2021-11-29,22442,19375,3067,,22950908,11696852,,22508112,11254056,
2021-11-30,27129,21456,5673,,22978037,11718308,,22519458,11259729,
2021-12-01,33445,26970,6475,,23011482,11745278,,22532408,11266204,
2021-12-02,33979,27915,6064,,23045461,11773193,,22544536,11272268,
2021-12-03,787013,25870,9213,,23832474,11799063,,,11281481,738075
2021-12-04,80898,28324,6544,,23913372,11827387,,,11288025,783991
2021-12-05,62989,32473,4698,,23976361,11859860,,,11292723,809671
2021-12-06,39472,19714,2983,,24015833,11879574,,,11295706,826303
2021-12-07,60631,15629,5002,,24076464,11895203,,,11300708,866170
2021-12-08,74325,20053,5511,,24150789,11915256,,,11306219,914723
2021-12-09,75093,19145,5234,,24225882,11934401,,,11311453,965209
2021-12-10,78390,18874,5425,,24304272,11953275,,,11316878,1019023
2021-12-11,83534,21224,6492,,24387806,11974499,,,11323370,1074634
2021-12-12,61920,23642,4557,,24449726,11998141,,,11327927,1108249
2021-12-13,34966,12031,2617,,24484692,12010172,,,11330544,1128482
2021-12-14,99397,9729,4268,,24584089,12019901,,,11334812,1213727
2021-12-15,127613,13684,5350,,24711702,12033585,,,11340162,1322001
2021-12-16,137803,13511,5006,,24849505,12047096,,,11345168,1441100
2021-12-17,156525,13562,5188,,25006030,12060658,,,11350356,1578642
2021-12-18,168923,14339,5351,,25174953,12074997,,,11355707,1727744
2021-12-19,140827,19047,4023,,25315780,12094044,,,11359730,1845407
2021-12-20,107158,10987,2821,,25422938,12105031,,,11362551,1938678
2021-12-21,206595,14189,4895,,25629533,12119220,,,11367446,2126049
2021-12-22,230516,15772,6073,,25860049,12134992,,,11373519,2334698
2021-12-23,253258,13878,6292,,26113307,12148870,,,11379811,2567601
2021-12-24,229743,11619,4000,,26343050,12160489,,,11383811,2770783
2021-12-25,92411,5192,5049,,26435461,12165681,,,11388860,2863624
2021-12-26,13907,502,264,,26449368,12166183,,,11389124,2876761
2021-12-27,45164,1676,1042,,26494532,12167859,,,11390166,2919190
2021-12-28,144705,7537,4590,,26639237,12175396,,,11394756,3051672
2021-12-29,176349,11006,5339,,26815586,12186402,,,11400095,3211538
2021-12-30,197280,11041,4884,,27012866,12197443,,,11404979,3392882
2021-12-31,195809,11293,5571,,27208675,12208736,,,11410550,3571791
2022-01-01,102450,7085,4968,,27311125,12215821,,,11415518,3662068
2022-01-02,22050,1328,1153,,27333175,12217149,,,11416671,3681589
2022-01-03,89188,5554,4962,,27422363,12222703,,,11421633,3760163
2022-01-04,148577,7476,6159,,27570940,12230179,,,11427792,3895067
2022-01-05,180013,9636,8682,161487,27750953,12239815,,,11436474,4056554
2022-01-06,195005,9908,8709,176118,27945958,12249723,,,11445183,4232672
2022-01-07,194093,10652,9039,174276,28140051,12260375,,,11454222,4406948
2022-01-08,184101,11129,8168,164668,28324152,12271504,,,11462390,4571616
2022-01-09,133661,11003,7466,115129,28457813,12282507,,,11469856,4686745
2022-01-10,93741,6176,4855,82633,28551554,12288683,,,11474711,4769378
2022-01-11,141693,8266,8200,125053,28693247,12296949,,,11482911,4894431
2022-01-12,159877,10661,10176,138827,28853124,12307610,,,11493087,5033258
2022-01-13,164160,11839,11195,140840,29017284,12319449,,,11504282,5174098
2022-01-14,163036,13720,12766,136327,29180320,12333169,,,11517048,5310425
2022-01-15,157357,13049,13416,130559,29337677,12346218,,,11530464,5440984
2022-01-16,117452,11471,10847,95012,29455129,12357689,,,11541311,5535996
2022-01-17,67184,6900,7060,53140,29522313,12364589,,,11548371,5589136
2022-01-18,39418,3465,3636,32176,29561731,12368054,,,11552007,5621312
2022-01-19,103143,7993,8864,85992,29664874,12376047,,,11560871,5707304
2022-01-20,104845,9177,9205,86274,29769719,12385224,,,11570076,5793578
2022-01-21,102664,8914,10567,82939,29872383,12394138,,,11580643,5876517
2022-01-22,104885,11339,14409,78828,29977268,12405477,,,11595052,5955345
2022-01-23,79025,8707,14827,55381,30056293,12414184,,,11609879,6010726
2022-01-24,43979,4357,8631,30910,30100272,12418541,,,11618510,6041636
2022-01-25,66528,6152,10847,49222,30166800,12424693,,,11629357,6090858
2022-01-26,79059,7045,15443,56428,30245859,12431738,,,11644800,6147286
2022-01-27,79322,7374,15622,56177,30325181,12439112,,,11660422,6203463
2022-01-28,77968,6988,16099,54656,30403149,12446100,,,11676521,6258119
2022-01-29,87121,8054,20024,58812,30490270,12454154,,,11696545,6316931
2022-01-30,68327,6246,21511,40485,30558597,12460400,,,11718056,6357416
2022-01-31,91134,3073,10522,22760,30649731,12463473,,,11728578,6380176
2022-02-01,57600,5382,12073,37523,30707331,12468855,,,11740651,6417699
2022-02-02,64978,6352,15508,40015,30772309,12475207,,,11756159,6457714
2022-02-03,60241,6236,14749,35809,30832550,12481443,,,11770908,6493523
2022-02-04,50432,5342,13635,28883,30882982,12486785,,,11784543,6522406
2022-02-05,66029,6250,17515,38626,30949011,12493035,,,11802058,6561032
2022-02-06,51747,4693,16878,29470,31000758,12497728,,,11818936,6590502
2022-02-07,24392,2267,8180,13587,31025150,12499995,,,11827116,6604089
