country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-17,-50,-16,,-50,-43
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-18,-43,-9,,-48,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-19,-52,-24,,-61,-36
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-20,-37,-7,,-36,-44
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-21,-41,-10,,-32,-44
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-22,-43,-9,,-33,-45
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-23,-38,-2,,-32,-43
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-24,-46,-17,,-46,-44
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-25,-39,-13,,-48,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-26,-45,-12,,-56,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-27,-39,-13,,-37,-43
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-28,-30,-3,,-25,-43
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-29,-30,2,,-29,-43
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-04-30,-29,6,,-32,-42
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-01,-37,-5,,-43,-42
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-02,-33,-8,,-41,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-03,-27,0,,-55,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-04,-33,-4,,-32,-41
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-05,-29,3,,-27,-40
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-06,-28,6,,-24,-40
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-07,-29,4,,-32,-40
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-08,-35,-3,,-41,-39
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-09,-25,7,,-43,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-10,-13,9,,-54,-22
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-11,-28,-3,,-33,-40
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-12,-25,0,,-21,-39
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-13,-21,3,,-15,-39
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-14,-18,1,,-25,-37
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-15,-30,-11,,-35,-42
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-16,-19,-1,,-34,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-17,0,12,,-51,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-18,-43,-40,,-40,-74
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-19,-6,18,,-14,-35
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-20,-1,25,,-12,-36
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-21,-3,20,,-19,-36
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-22,-14,4,,-29,-34
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-23,-9,6,,-27,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-24,1,15,,-38,-14
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-25,-8,11,,-20,-37
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-26,-9,13,,-14,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-27,-6,18,,-16,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-28,-10,15,,-14,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-29,-15,11,,-22,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-30,-10,9,,-20,-11
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-05-31,-6,12,,-39,-5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-01,-9,13,,-15,-34
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-02,-13,11,,-10,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-03,-12,13,,-14,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-04,-9,20,,-12,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-05,-17,2,,-24,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-06,-9,2,,-22,-9
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-07,2,11,,-36,-2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-08,-6,10,,-12,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-09,-10,8,,-8,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-10,-2,18,,-6,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-11,-6,17,,-11,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-12,-12,3,,-17,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-13,-6,7,,-14,-2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-14,9,15,,-27,3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-15,-1,18,,-6,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-16,2,22,,-3,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-17,-2,20,,1,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-18,-3,20,,-7,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-19,-7,10,,-7,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-20,0,17,,1,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-21,10,23,,-20,5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-22,-6,11,,-3,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-23,0,18,,2,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-24,5,26,,7,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-25,-3,20,,7,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-26,-10,11,,8,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-27,-5,10,,4,-7
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-28,1,13,,-13,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-29,7,21,,3,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-06-30,22,53,,8,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-01,-43,-21,,0,-65
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-02,5,28,,3,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-03,-6,12,,7,-34
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-04,0,11,,13,-1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-05,7,18,,7,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-06,0,21,,3,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-07,-2,19,,3,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-08,-2,18,,0,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-09,-2,18,,1,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-10,-9,7,,-5,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-11,-8,5,,-1,-10
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-12,3,15,,-10,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-13,1,15,,3,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-14,2,18,,8,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-15,4,19,,6,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-16,-1,19,,8,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-17,-8,8,,8,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-18,4,10,,25,-2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-19,8,17,,2,-8
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-20,5,18,,17,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-21,4,15,,14,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-22,1,14,,13,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-23,2,16,,12,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-24,-5,5,,17,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-25,3,5,,36,-5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-26,9,12,,12,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-27,-2,11,,11,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-28,5,17,,14,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-29,7,17,,5,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-30,9,23,,17,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-07-31,4,14,,31,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-01,7,11,,57,-8
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-02,5,13,,6,-12
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-03,-9,-11,,33,-66
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-04,-1,15,,10,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-05,12,29,,13,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-06,11,23,,17,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-07,-2,5,,22,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-08,7,7,,40,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-09,10,15,,22,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-10,6,15,,17,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-11,0,12,,12,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-12,4,14,,14,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-13,7,19,,14,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-14,-4,3,,34,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-15,4,7,,45,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-16,13,9,,28,-1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-17,,,,,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-18,,,,,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-19,,,,,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-20,,,,,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-21,,,,,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-22,,,,,
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-23,,,,,
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-24,,,,,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-25,,,,,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-26,,,,,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-27,,,,,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-28,,,,,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-29,,,,,
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-30,,,,,
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-08-31,,,,,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-01,,,,,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-02,,,,,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-03,,,,,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-04,,,,,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-05,,,,,
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-06,,,,,
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-07,,,,,-72
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-08,,,,,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-09,,,,,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-10,,,,,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-11,-1,1,,-6,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-12,11,6,,14,-5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-13,4,5,,-18,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-14,11,11,,-7,-23
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-15,11,10,,-4,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-16,6,4,,-8,-23
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-17,6,12,,-9,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-18,4,3,,-3,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-19,11,2,,-2,-2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-20,21,16,,-6,1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-21,7,6,,-9,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-22,10,14,,-10,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-23,2,13,,-11,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-24,4,11,,-12,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-25,-4,-2,,-13,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-26,8,9,,-8,2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-27,18,14,,-16,4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-28,4,12,,-12,-22
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-29,3,9,,-14,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-09-30,8,21,,-13,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-01,7,15,,-15,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-02,-4,3,,-21,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-03,3,4,,-23,-6
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-04,9,15,,-38,2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-05,5,12,,-22,-20
